province,sex,age_group,population,source,country_iso3
Qom,Male,85-89,2052,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Qom,Female,85-89,2091,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Qom,Male,90-94,830,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Qom,Female,90-94,780,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Qom,Male,95-99,132,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Qom,Female,95-99,162,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Qom,Male,100 and over,40,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Qom,Female,100 and over,53,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Both,All Ages,702360,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Male,All Ages,356656,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Female,All Ages,345704,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Male,0-4,27643,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Female,0-4,26601,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Male,5-9,25248,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Female,5-9,24726,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Male,10-14,23481,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Female,10-14,22710,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Male,15-19,25898,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Female,15-19,23506,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Male,20-24,34503,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Female,20-24,33265,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Male,25-29,38604,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Female,25-29,37621,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Male,30-34,38307,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Female,30-34,37085,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Male,35-39,30032,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Female,35-39,28916,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Male,40-44,23675,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Female,40-44,22203,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Male,45-49,21266,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Female,45-49,21013,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Male,50-54,17806,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Female,50-54,17438,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Male,55-59,15618,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Female,55-59,15117,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Male,60-64,11472,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Female,60-64,11445,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Male,65-69,7575,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Female,65-69,8367,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Male,70-74,5859,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Female,70-74,6085,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Male,75-79,4268,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Female,75-79,4376,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Male,80-84,3250,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Female,80-84,3123,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Male,85-89,1468,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Female,85-89,1475,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Male,90-94,554,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Female,90-94,530,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Male,95-99,118,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Female,95-99,93,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Male,100 and over,11,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Semnan,Female,100 and over,9,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Both,All Ages,2775014,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Male,All Ages,1401931,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Female,All Ages,1373083,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Male,0-4,215188,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Female,0-4,203521,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Male,5-9,181631,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Female,5-9,172694,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Male,10-14,148271,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Female,10-14,142484,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Male,15-19,134731,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Female,15-19,129884,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Male,20-24,132510,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Female,20-24,128639,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Male,25-29,131005,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Female,25-29,131301,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Male,30-34,117172,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Female,30-34,121725,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Male,35-39,92328,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Female,35-39,94889,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Male,40-44,64658,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Female,40-44,63750,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Male,45-49,50155,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Female,45-49,50271,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Male,50-54,34250,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Female,50-54,37207,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Male,55-59,30101,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Female,55-59,31068,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Male,60-64,23595,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Female,60-64,22788,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Male,65-69,15699,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Female,65-69,16723,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Male,70-74,10794,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Female,70-74,9903,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Male,75-79,6970,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Female,75-79,6197,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Male,80-84,6735,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Female,80-84,5110,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Male,85-89,3683,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Female,85-89,2785,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Male,90-94,1528,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Female,90-94,1173,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Male,95-99,610,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Female,95-99,528,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Male,100 and over,317,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Female,100 and over,443,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Both,All Ages,768898,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Male,All Ages,389917,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Female,All Ages,378981,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Male,0-4,43452,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Female,0-4,41521,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Male,5-9,36077,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Female,5-9,34394,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Male,10-14,31649,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Female,10-14,30415,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Male,15-19,34558,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Female,15-19,29802,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Male,20-24,34514,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Female,20-24,30638,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Male,25-29,37468,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Female,25-29,35684,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Male,30-34,35861,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Female,30-34,35090,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Male,35-39,28835,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Female,35-39,28529,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Male,40-44,22156,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Female,40-44,22876,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Male,45-49,19487,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Female,45-49,20451,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Male,50-54,14865,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Female,50-54,16221,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Male,55-59,13871,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Female,55-59,15459,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Male,60-64,10427,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Female,60-64,11663,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Male,65-69,6983,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Female,65-69,7681,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Male,70-74,6649,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Female,70-74,6818,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Male,75-79,5121,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Female,75-79,4881,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Male,80-84,4667,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Female,80-84,4135,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Male,85-89,2213,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Female,85-89,1864,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Male,90-94,928,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Female,90-94,728,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Male,95-99,104,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Female,95-99,106,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Male,100 and over,32,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
South Khorasan,Female,100 and over,25,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Both,All Ages,13267637,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Male,All Ages,6673672,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Female,All Ages,6593965,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Male,0-4,497120,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Female,0-4,469853,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Male,5-9,458616,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Female,5-9,434746,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Male,10-14,421075,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Female,10-14,401141,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Male,15-19,417982,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Female,15-19,402908,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Male,20-24,474770,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Female,20-24,485620,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Male,25-29,656933,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Female,25-29,679824,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Male,30-34,764188,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Female,30-34,778351,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Male,35-39,646446,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Female,35-39,633394,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Male,40-44,500904,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Female,40-44,475615,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Male,45-49,453314,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Female,45-49,439231,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Male,50-54,379532,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Female,50-54,378511,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Male,55-59,312653,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Female,55-59,319365,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Male,60-64,241326,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Female,60-64,241876,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Male,65-69,163162,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Female,65-69,167941,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Male,70-74,115537,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Female,70-74,116852,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Male,75-79,80639,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Female,75-79,79679,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Male,80-84,55354,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Female,80-84,51544,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Male,85-89,23929,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Female,85-89,25998,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Male,90-94,8654,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Female,90-94,9468,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Male,95-99,1337,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Female,95-99,1738,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Male,100 and over,201,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Tehran,Female,100 and over,310,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
West Azarbayejan.,Both,All Ages,3265219,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
West Azarbayejan.,Male,All Ages,1658319,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
West Azarbayejan.,Female,All Ages,1606900,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
West Azarbayejan.,Male,0-4,158366,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
West Azarbayejan.,Female,0-4,148241,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
West Azarbayejan.,Male,5-9,143847,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
West Azarbayejan.,Female,5-9,135944,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
West Azarbayejan.,Male,10-14,129380,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
West Azarbayejan.,Female,10-14,121978,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
West Azarbayejan.,Male,15-19,123645,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
West Azarbayejan.,Female,15-19,117668,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
West Azarbayejan.,Male,20-24,144638,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
West Azarbayejan.,Female,20-24,139190,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
