Average expenses and percentage distribution	Expenditure quintile	Expenditure codes (2 digits)	Period	Total
Distribution (horizontal percentages)	Quintile 2	10 Education	2013	8.91
Distribution (horizontal percentages)	Quintile 2	10 Education	2012	8.42
Distribution (horizontal percentages)	Quintile 2	10 Education	2011	8.52
Distribution (horizontal percentages)	Quintile 2	10 Education	2010	9.22
Distribution (horizontal percentages)	Quintile 2	10 Education	2009	10.10
Distribution (horizontal percentages)	Quintile 2	10 Education	2008	9.30
Distribution (horizontal percentages)	Quintile 2	10 Education	2007	8.93
Distribution (horizontal percentages)	Quintile 2	10 Education	2006	7.85
Distribution (horizontal percentages)	Quintile 2	11 Restaurants and hotels	2023	10.50
Distribution (horizontal percentages)	Quintile 2	11 Restaurants and hotels	2022	10.21
Distribution (horizontal percentages)	Quintile 2	11 Restaurants and hotels	2021	9.81
Distribution (horizontal percentages)	Quintile 2	11 Restaurants and hotels	2020	9.16
Distribution (horizontal percentages)	Quintile 2	11 Restaurants and hotels	2019	11.01
Distribution (horizontal percentages)	Quintile 2	11 Restaurants and hotels	2018	10.47
Distribution (horizontal percentages)	Quintile 2	11 Restaurants and hotels	2017	10.52
Distribution (horizontal percentages)	Quintile 2	11 Restaurants and hotels	2016	10.47
Distribution (horizontal percentages)	Quintile 2	11 Restaurants and hotels	2015	10.55
Distribution (horizontal percentages)	Quintile 2	11 Restaurants and hotels	2014	10.70
Distribution (horizontal percentages)	Quintile 2	11 Restaurants and hotels	2013	11.16
Distribution (horizontal percentages)	Quintile 2	11 Restaurants and hotels	2012	11.41
Distribution (horizontal percentages)	Quintile 2	11 Restaurants and hotels	2011	11.36
Distribution (horizontal percentages)	Quintile 2	11 Restaurants and hotels	2010	11.31
Distribution (horizontal percentages)	Quintile 2	11 Restaurants and hotels	2009	12.04
Distribution (horizontal percentages)	Quintile 2	11 Restaurants and hotels	2008	12.03
Distribution (horizontal percentages)	Quintile 2	11 Restaurants and hotels	2007	12.11
Distribution (horizontal percentages)	Quintile 2	11 Restaurants and hotels	2006	11.83
Distribution (horizontal percentages)	Quintile 2	12 Other goods and services	2023	14.19
Distribution (horizontal percentages)	Quintile 2	12 Other goods and services	2022	13.97
Distribution (horizontal percentages)	Quintile 2	12 Other goods and services	2021	14.37
Distribution (horizontal percentages)	Quintile 2	12 Other goods and services	2020	13.90
Distribution (horizontal percentages)	Quintile 2	12 Other goods and services	2019	13.73
Distribution (horizontal percentages)	Quintile 2	12 Other goods and services	2018	13.29
Distribution (horizontal percentages)	Quintile 2	12 Other goods and services	2017	13.43
Distribution (horizontal percentages)	Quintile 2	12 Other goods and services	2016	13.52
Distribution (horizontal percentages)	Quintile 2	12 Other goods and services	2015	12.98
Distribution (horizontal percentages)	Quintile 2	12 Other goods and services	2014	12.97
Distribution (horizontal percentages)	Quintile 2	12 Other goods and services	2013	13.20
Distribution (horizontal percentages)	Quintile 2	12 Other goods and services	2012	12.92
Distribution (horizontal percentages)	Quintile 2	12 Other goods and services	2011	13.38
Distribution (horizontal percentages)	Quintile 2	12 Other goods and services	2010	12.93
Distribution (horizontal percentages)	Quintile 2	12 Other goods and services	2009	12.77
Distribution (horizontal percentages)	Quintile 2	12 Other goods and services	2008	13.02
Distribution (horizontal percentages)	Quintile 2	12 Other goods and services	2007	12.43
Distribution (horizontal percentages)	Quintile 2	12 Other goods and services	2006	11.53
Distribution (horizontal percentages)	Quintile 3	Overall index	2023	17.87
Distribution (horizontal percentages)	Quintile 3	Overall index	2022	18.01
Distribution (horizontal percentages)	Quintile 3	Overall index	2021	17.87
Distribution (horizontal percentages)	Quintile 3	Overall index	2020	17.99
Distribution (horizontal percentages)	Quintile 3	Overall index	2019	17.95
Distribution (horizontal percentages)	Quintile 3	Overall index	2018	17.97
Distribution (horizontal percentages)	Quintile 3	Overall index	2017	17.89
Distribution (horizontal percentages)	Quintile 3	Overall index	2016	17.91
Distribution (horizontal percentages)	Quintile 3	Overall index	2015	17.86
Distribution (horizontal percentages)	Quintile 3	Overall index	2014	17.90
Distribution (horizontal percentages)	Quintile 3	Overall index	2013	17.89
Distribution (horizontal percentages)	Quintile 3	Overall index	2012	18.02
Distribution (horizontal percentages)	Quintile 3	Overall index	2011	18.00
Distribution (horizontal percentages)	Quintile 3	Overall index	2010	17.81
Distribution (horizontal percentages)	Quintile 3	Overall index	2009	17.96
Distribution (horizontal percentages)	Quintile 3	Overall index	2008	17.85
Distribution (horizontal percentages)	Quintile 3	Overall index	2007	17.83
Distribution (horizontal percentages)	Quintile 3	Overall index	2006	17.86
Distribution (horizontal percentages)	Quintile 3	01 Food and non-alcoholic beverages	2023	20.07
Distribution (horizontal percentages)	Quintile 3	01 Food and non-alcoholic beverages	2022	20.35
Distribution (horizontal percentages)	Quintile 3	01 Food and non-alcoholic beverages	2021	20.23
Distribution (horizontal percentages)	Quintile 3	01 Food and non-alcoholic beverages	2020	20.71
Distribution (horizontal percentages)	Quintile 3	01 Food and non-alcoholic beverages	2019	19.99
Distribution (horizontal percentages)	Quintile 3	01 Food and non-alcoholic beverages	2018	20.17
Distribution (horizontal percentages)	Quintile 3	01 Food and non-alcoholic beverages	2017	19.98
Distribution (horizontal percentages)	Quintile 3	01 Food and non-alcoholic beverages	2016	19.96
Distribution (horizontal percentages)	Quintile 3	01 Food and non-alcoholic beverages	2015	20.20
Distribution (horizontal percentages)	Quintile 3	01 Food and non-alcoholic beverages	2014	20.57
Distribution (horizontal percentages)	Quintile 3	01 Food and non-alcoholic beverages	2013	20.26
Distribution (horizontal percentages)	Quintile 3	01 Food and non-alcoholic beverages	2012	20.59
Distribution (horizontal percentages)	Quintile 3	01 Food and non-alcoholic beverages	2011	20.71
Distribution (horizontal percentages)	Quintile 3	01 Food and non-alcoholic beverages	2010	20.29
Distribution (horizontal percentages)	Quintile 3	01 Food and non-alcoholic beverages	2009	20.45
Distribution (horizontal percentages)	Quintile 3	01 Food and non-alcoholic beverages	2008	20.45
Distribution (horizontal percentages)	Quintile 3	01 Food and non-alcoholic beverages	2007	20.79
Distribution (horizontal percentages)	Quintile 3	01 Food and non-alcoholic beverages	2006	21.29
Distribution (horizontal percentages)	Quintile 3	02 Alcoholic beverages and tobacco	2023	19.10
Distribution (horizontal percentages)	Quintile 3	02 Alcoholic beverages and tobacco	2022	18.34
Distribution (horizontal percentages)	Quintile 3	02 Alcoholic beverages and tobacco	2021	21.15
Distribution (horizontal percentages)	Quintile 3	02 Alcoholic beverages and tobacco	2020	20.30
Distribution (horizontal percentages)	Quintile 3	02 Alcoholic beverages and tobacco	2019	20.89
Distribution (horizontal percentages)	Quintile 3	02 Alcoholic beverages and tobacco	2018	20.88
Distribution (horizontal percentages)	Quintile 3	02 Alcoholic beverages and tobacco	2017	19.85
Distribution (horizontal percentages)	Quintile 3	02 Alcoholic beverages and tobacco	2016	20.33
Distribution (horizontal percentages)	Quintile 3	02 Alcoholic beverages and tobacco	2015	20.12
Distribution (horizontal percentages)	Quintile 3	02 Alcoholic beverages and tobacco	2014	19.89
Distribution (horizontal percentages)	Quintile 3	02 Alcoholic beverages and tobacco	2013	21.04
Distribution (horizontal percentages)	Quintile 3	02 Alcoholic beverages and tobacco	2012	20.10
Distribution (horizontal percentages)	Quintile 3	02 Alcoholic beverages and tobacco	2011	20.04
Distribution (horizontal percentages)	Quintile 3	02 Alcoholic beverages and tobacco	2010	20.35
Distribution (horizontal percentages)	Quintile 3	02 Alcoholic beverages and tobacco	2009	21.18
Distribution (horizontal percentages)	Quintile 3	02 Alcoholic beverages and tobacco	2008	20.74
Distribution (horizontal percentages)	Quintile 3	02 Alcoholic beverages and tobacco	2007	20.64
Distribution (horizontal percentages)	Quintile 3	02 Alcoholic beverages and tobacco	2006	20.91
Distribution (horizontal percentages)	Quintile 3	03 Clothing and footwear	2023	17.80
Distribution (horizontal percentages)	Quintile 3	03 Clothing and footwear	2022	18.18
Distribution (horizontal percentages)	Quintile 3	03 Clothing and footwear	2021	18.12
Distribution (horizontal percentages)	Quintile 3	03 Clothing and footwear	2020	17.47
Distribution (horizontal percentages)	Quintile 3	03 Clothing and footwear	2019	17.21
Distribution (horizontal percentages)	Quintile 3	03 Clothing and footwear	2018	17.87
Distribution (horizontal percentages)	Quintile 3	03 Clothing and footwear	2017	17.95
Distribution (horizontal percentages)	Quintile 3	03 Clothing and footwear	2016	17.64
Distribution (horizontal percentages)	Quintile 3	03 Clothing and footwear	2015	17.37
Distribution (horizontal percentages)	Quintile 3	03 Clothing and footwear	2014	16.76
Distribution (horizontal percentages)	Quintile 3	03 Clothing and footwear	2013	16.65
Distribution (horizontal percentages)	Quintile 3	03 Clothing and footwear	2012	16.65
Distribution (horizontal percentages)	Quintile 3	03 Clothing and footwear	2011	17.58
Distribution (horizontal percentages)	Quintile 3	03 Clothing and footwear	2010	17.09
Distribution (horizontal percentages)	Quintile 3	03 Clothing and footwear	2009	17.30
Distribution (horizontal percentages)	Quintile 3	03 Clothing and footwear	2008	16.81
Distribution (horizontal percentages)	Quintile 3	03 Clothing and footwear	2007	17.07
Distribution (horizontal percentages)	Quintile 3	03 Clothing and footwear	2006	17.88
Distribution (horizontal percentages)	Quintile 3	04 Housing, water, electricity, gas and other fuels	2023	18.83
Distribution (horizontal percentages)	Quintile 3	04 Housing, water, electricity, gas and other fuels	2022	18.97
Distribution (horizontal percentages)	Quintile 3	04 Housing, water, electricity, gas and other fuels	2021	18.54
Distribution (horizontal percentages)	Quintile 3	04 Housing, water, electricity, gas and other fuels	2020	18.68
Distribution (horizontal percentages)	Quintile 3	04 Housing, water, electricity, gas and other fuels	2019	18.75
Distribution (horizontal percentages)	Quintile 3	04 Housing, water, electricity, gas and other fuels	2018	18.64
Distribution (horizontal percentages)	Quintile 3	04 Housing, water, electricity, gas and other fuels	2017	18.94
Distribution (horizontal percentages)	Quintile 3	04 Housing, water, electricity, gas and other fuels	2016	18.92
Distribution (horizontal percentages)	Quintile 3	04 Housing, water, electricity, gas and other fuels	2015	18.83
Distribution (horizontal percentages)	Quintile 3	04 Housing, water, electricity, gas and other fuels	2014	18.95
Distribution (horizontal percentages)	Quintile 3	04 Housing, water, electricity, gas and other fuels	2013	18.70
Distribution (horizontal percentages)	Quintile 3	04 Housing, water, electricity, gas and other fuels	2012	18.79
Distribution (horizontal percentages)	Quintile 3	04 Housing, water, electricity, gas and other fuels	2011	18.97
Distribution (horizontal percentages)	Quintile 3	04 Housing, water, electricity, gas and other fuels	2010	19.08
Distribution (horizontal percentages)	Quintile 3	04 Housing, water, electricity, gas and other fuels	2009	19.05
Distribution (horizontal percentages)	Quintile 3	04 Housing, water, electricity, gas and other fuels	2008	19.21
Distribution (horizontal percentages)	Quintile 3	04 Housing, water, electricity, gas and other fuels	2007	19.56
Distribution (horizontal percentages)	Quintile 3	04 Housing, water, electricity, gas and other fuels	2006	19.27
Distribution (horizontal percentages)	Quintile 3	05 Furnishings, household equipment and routine household maintenance	2023	16.45
Distribution (horizontal percentages)	Quintile 3	05 Furnishings, household equipment and routine household maintenance	2022	16.83
Distribution (horizontal percentages)	Quintile 3	05 Furnishings, household equipment and routine household maintenance	2021	15.53
Distribution (horizontal percentages)	Quintile 3	05 Furnishings, household equipment and routine household maintenance	2020	15.90
Distribution (horizontal percentages)	Quintile 3	05 Furnishings, household equipment and routine household maintenance	2019	16.00
Distribution (horizontal percentages)	Quintile 3	05 Furnishings, household equipment and routine household maintenance	2018	15.64
Distribution (horizontal percentages)	Quintile 3	05 Furnishings, household equipment and routine household maintenance	2017	16.02
Distribution (horizontal percentages)	Quintile 3	05 Furnishings, household equipment and routine household maintenance	2016	15.26
Distribution (horizontal percentages)	Quintile 3	05 Furnishings, household equipment and routine household maintenance	2015	16.02
Distribution (horizontal percentages)	Quintile 3	05 Furnishings, household equipment and routine household maintenance	2014	15.78
Distribution (horizontal percentages)	Quintile 3	05 Furnishings, household equipment and routine household maintenance	2013	15.71
Distribution (horizontal percentages)	Quintile 3	05 Furnishings, household equipment and routine household maintenance	2012	15.82
Distribution (horizontal percentages)	Quintile 3	05 Furnishings, household equipment and routine household maintenance	2011	16.00
Distribution (horizontal percentages)	Quintile 3	05 Furnishings, household equipment and routine household maintenance	2010	15.18
Distribution (horizontal percentages)	Quintile 3	05 Furnishings, household equipment and routine household maintenance	2009	15.95
Distribution (horizontal percentages)	Quintile 3	05 Furnishings, household equipment and routine household maintenance	2008	15.50
Distribution (horizontal percentages)	Quintile 3	05 Furnishings, household equipment and routine household maintenance	2007	15.49
Distribution (horizontal percentages)	Quintile 3	05 Furnishings, household equipment and routine household maintenance	2006	15.65
Distribution (horizontal percentages)	Quintile 3	06 Health	2023	17.05
Distribution (horizontal percentages)	Quintile 3	06 Health	2022	17.53
Distribution (horizontal percentages)	Quintile 3	06 Health	2021	17.02
Distribution (horizontal percentages)	Quintile 3	06 Health	2020	16.38
Distribution (horizontal percentages)	Quintile 3	06 Health	2019	17.88
Distribution (horizontal percentages)	Quintile 3	06 Health	2018	18.15
Distribution (horizontal percentages)	Quintile 3	06 Health	2017	17.51
Distribution (horizontal percentages)	Quintile 3	06 Health	2016	17.51
Distribution (horizontal percentages)	Quintile 3	06 Health	2015	16.49
Distribution (horizontal percentages)	Quintile 3	06 Health	2014	14.62
Distribution (horizontal percentages)	Quintile 3	06 Health	2013	15.11
Distribution (horizontal percentages)	Quintile 3	06 Health	2012	15.25
Distribution (horizontal percentages)	Quintile 3	06 Health	2011	15.92
Distribution (horizontal percentages)	Quintile 3	06 Health	2010	14.86
Distribution (horizontal percentages)	Quintile 3	06 Health	2009	14.99
Distribution (horizontal percentages)	Quintile 3	06 Health	2008	15.11
Distribution (horizontal percentages)	Quintile 3	06 Health	2007	15.77
Distribution (horizontal percentages)	Quintile 3	06 Health	2006	17.15
Distribution (horizontal percentages)	Quintile 3	07 Transport	2023	14.52
Distribution (horizontal percentages)	Quintile 3	07 Transport	2022	14.44
Distribution (horizontal percentages)	Quintile 3	07 Transport	2021	14.08
Distribution (horizontal percentages)	Quintile 3	07 Transport	2020	14.24
Distribution (horizontal percentages)	Quintile 3	07 Transport	2019	15.08
Distribution (horizontal percentages)	Quintile 3	07 Transport	2018	14.97
Distribution (horizontal percentages)	Quintile 3	07 Transport	2017	14.44
Distribution (horizontal percentages)	Quintile 3	07 Transport	2016	14.82
Distribution (horizontal percentages)	Quintile 3	07 Transport	2015	14.86
Distribution (horizontal percentages)	Quintile 3	07 Transport	2014	14.93
Distribution (horizontal percentages)	Quintile 3	07 Transport	2013	15.79
Distribution (horizontal percentages)	Quintile 3	07 Transport	2012	15.48
Distribution (horizontal percentages)	Quintile 3	07 Transport	2011	14.45
Distribution (horizontal percentages)	Quintile 3	07 Transport	2010	14.60
Distribution (horizontal percentages)	Quintile 3	07 Transport	2009	14.82
Distribution (horizontal percentages)	Quintile 3	07 Transport	2008	14.41
Distribution (horizontal percentages)	Quintile 3	07 Transport	2007	13.96
Distribution (horizontal percentages)	Quintile 3	07 Transport	2006	13.55
Distribution (horizontal percentages)	Quintile 3	08 Communication	2023	19.59
Distribution (horizontal percentages)	Quintile 3	08 Communication	2022	19.95
Distribution (horizontal percentages)	Quintile 3	08 Communication	2021	19.81
Distribution (horizontal percentages)	Quintile 3	08 Communication	2020	19.85
Distribution (horizontal percentages)	Quintile 3	08 Communication	2019	19.97
Distribution (horizontal percentages)	Quintile 3	08 Communication	2018	20.31
Distribution (horizontal percentages)	Quintile 3	08 Communication	2017	19.92
Distribution (horizontal percentages)	Quintile 3	08 Communication	2016	20.25
Distribution (horizontal percentages)	Quintile 3	08 Communication	2015	20.37
Distribution (horizontal percentages)	Quintile 3	08 Communication	2014	20.72
Distribution (horizontal percentages)	Quintile 3	08 Communication	2013	20.58
Distribution (horizontal percentages)	Quintile 3	08 Communication	2012	20.72
Distribution (horizontal percentages)	Quintile 3	08 Communication	2011	20.21
Distribution (horizontal percentages)	Quintile 3	08 Communication	2010	20.27
Distribution (horizontal percentages)	Quintile 3	08 Communication	2009	20.18
Distribution (horizontal percentages)	Quintile 3	08 Communication	2008	20.49
Distribution (horizontal percentages)	Quintile 3	08 Communication	2007	20.11
Distribution (horizontal percentages)	Quintile 3	08 Communication	2006	20.91
Distribution (horizontal percentages)	Quintile 3	09 Recreation and culture	2023	16.05
Distribution (horizontal percentages)	Quintile 3	09 Recreation and culture	2022	16.06
Distribution (horizontal percentages)	Quintile 3	09 Recreation and culture	2021	16.48
Distribution (horizontal percentages)	Quintile 3	09 Recreation and culture	2020	16.20
Distribution (horizontal percentages)	Quintile 3	09 Recreation and culture	2019	16.11
Distribution (horizontal percentages)	Quintile 3	09 Recreation and culture	2018	16.27
Distribution (horizontal percentages)	Quintile 3	09 Recreation and culture	2017	16.40
Distribution (horizontal percentages)	Quintile 3	09 Recreation and culture	2016	16.75
Distribution (horizontal percentages)	Quintile 3	09 Recreation and culture	2015	16.58
Distribution (horizontal percentages)	Quintile 3	09 Recreation and culture	2014	16.89
Distribution (horizontal percentages)	Quintile 3	09 Recreation and culture	2013	16.75
Distribution (horizontal percentages)	Quintile 3	09 Recreation and culture	2012	17.34
Distribution (horizontal percentages)	Quintile 3	09 Recreation and culture	2011	17.10
Distribution (horizontal percentages)	Quintile 3	09 Recreation and culture	2010	16.17
Distribution (horizontal percentages)	Quintile 3	09 Recreation and culture	2009	16.49
Distribution (horizontal percentages)	Quintile 3	09 Recreation and culture	2008	17.10
Distribution (horizontal percentages)	Quintile 3	09 Recreation and culture	2007	16.65
Distribution (horizontal percentages)	Quintile 3	09 Recreation and culture	2006	17.40
Distribution (horizontal percentages)	Quintile 3	10 Education	2023	15.50
Distribution (horizontal percentages)	Quintile 3	10 Education	2022	18.60
Distribution (horizontal percentages)	Quintile 3	10 Education	2021	17.02
Distribution (horizontal percentages)	Quintile 3	10 Education	2020	15.64
Distribution (horizontal percentages)	Quintile 3	10 Education	2019	16.03
Distribution (horizontal percentages)	Quintile 3	10 Education	2018	15.52
Distribution (horizontal percentages)	Quintile 3	10 Education	2017	16.22
Distribution (horizontal percentages)	Quintile 3	10 Education	2016	16.02
Distribution (horizontal percentages)	Quintile 3	10 Education	2015	15.89
Distribution (horizontal percentages)	Quintile 3	10 Education	2014	16.16
Distribution (horizontal percentages)	Quintile 3	10 Education	2013	14.83
Distribution (horizontal percentages)	Quintile 3	10 Education	2012	16.30
Distribution (horizontal percentages)	Quintile 3	10 Education	2011	15.81
Distribution (horizontal percentages)	Quintile 3	10 Education	2010	15.21
Distribution (horizontal percentages)	Quintile 3	10 Education	2009	15.74
Distribution (horizontal percentages)	Quintile 3	10 Education	2008	16.20
Distribution (horizontal percentages)	Quintile 3	10 Education	2007	16.61
Distribution (horizontal percentages)	Quintile 3	10 Education	2006	13.76
Distribution (horizontal percentages)	Quintile 3	11 Restaurants and hotels	2023	16.69
Distribution (horizontal percentages)	Quintile 3	11 Restaurants and hotels	2022	16.28
Distribution (horizontal percentages)	Quintile 3	11 Restaurants and hotels	2021	16.36
Distribution (horizontal percentages)	Quintile 3	11 Restaurants and hotels	2020	15.78
Distribution (horizontal percentages)	Quintile 3	11 Restaurants and hotels	2019	17.66
Distribution (horizontal percentages)	Quintile 3	11 Restaurants and hotels	2018	17.39
Distribution (horizontal percentages)	Quintile 3	11 Restaurants and hotels	2017	17.38
Distribution (horizontal percentages)	Quintile 3	11 Restaurants and hotels	2016	16.86
Distribution (horizontal percentages)	Quintile 3	11 Restaurants and hotels	2015	16.28
Distribution (horizontal percentages)	Quintile 3	11 Restaurants and hotels	2014	16.75
Distribution (horizontal percentages)	Quintile 3	11 Restaurants and hotels	2013	16.41
Distribution (horizontal percentages)	Quintile 3	11 Restaurants and hotels	2012	16.99
Distribution (horizontal percentages)	Quintile 3	11 Restaurants and hotels	2011	17.10
Distribution (horizontal percentages)	Quintile 3	11 Restaurants and hotels	2010	17.31
Distribution (horizontal percentages)	Quintile 3	11 Restaurants and hotels	2009	17.88
Distribution (horizontal percentages)	Quintile 3	11 Restaurants and hotels	2008	17.91
Distribution (horizontal percentages)	Quintile 3	11 Restaurants and hotels	2007	17.73
Distribution (horizontal percentages)	Quintile 3	11 Restaurants and hotels	2006	17.64
Distribution (horizontal percentages)	Quintile 3	12 Other goods and services	2023	17.92
Distribution (horizontal percentages)	Quintile 3	12 Other goods and services	2022	17.85
Distribution (horizontal percentages)	Quintile 3	12 Other goods and services	2021	17.99
Distribution (horizontal percentages)	Quintile 3	12 Other goods and services	2020	17.94
Distribution (horizontal percentages)	Quintile 3	12 Other goods and services	2019	17.99
Distribution (horizontal percentages)	Quintile 3	12 Other goods and services	2018	18.37
Distribution (horizontal percentages)	Quintile 3	12 Other goods and services	2017	17.57
Distribution (horizontal percentages)	Quintile 3	12 Other goods and services	2016	17.53
Distribution (horizontal percentages)	Quintile 3	12 Other goods and services	2015	17.49
Distribution (horizontal percentages)	Quintile 3	12 Other goods and services	2014	17.20
Distribution (horizontal percentages)	Quintile 3	12 Other goods and services	2013	17.28
Distribution (horizontal percentages)	Quintile 3	12 Other goods and services	2012	17.41
Distribution (horizontal percentages)	Quintile 3	12 Other goods and services	2011	17.58
Distribution (horizontal percentages)	Quintile 3	12 Other goods and services	2010	17.50
Distribution (horizontal percentages)	Quintile 3	12 Other goods and services	2009	16.99
Distribution (horizontal percentages)	Quintile 3	12 Other goods and services	2008	16.83
Distribution (horizontal percentages)	Quintile 3	12 Other goods and services	2007	16.87
Distribution (horizontal percentages)	Quintile 3	12 Other goods and services	2006	16.58
Distribution (horizontal percentages)	Quintile 4	Overall index	2023	23.12
Distribution (horizontal percentages)	Quintile 4	Overall index	2022	23.22
Distribution (horizontal percentages)	Quintile 4	Overall index	2021	23.01
Distribution (horizontal percentages)	Quintile 4	Overall index	2020	22.71
Distribution (horizontal percentages)	Quintile 4	Overall index	2019	23.40
Distribution (horizontal percentages)	Quintile 4	Overall index	2018	23.34
Distribution (horizontal percentages)	Quintile 4	Overall index	2017	23.13
Distribution (horizontal percentages)	Quintile 4	Overall index	2016	23.20
Distribution (horizontal percentages)	Quintile 4	Overall index	2015	23.25
Distribution (horizontal percentages)	Quintile 4	Overall index	2014	23.21
Distribution (horizontal percentages)	Quintile 4	Overall index	2013	22.90
Distribution (horizontal percentages)	Quintile 4	Overall index	2012	23.05
Distribution (horizontal percentages)	Quintile 4	Overall index	2011	23.04
Distribution (horizontal percentages)	Quintile 4	Overall index	2010	23.31
Distribution (horizontal percentages)	Quintile 4	Overall index	2009	22.85
Distribution (horizontal percentages)	Quintile 4	Overall index	2008	23.32
Distribution (horizontal percentages)	Quintile 4	Overall index	2007	22.99
Distribution (horizontal percentages)	Quintile 4	Overall index	2006	23.75
Distribution (horizontal percentages)	Quintile 4	01 Food and non-alcoholic beverages	2023	23.22
Distribution (horizontal percentages)	Quintile 4	01 Food and non-alcoholic beverages	2022	22.83
Distribution (horizontal percentages)	Quintile 4	01 Food and non-alcoholic beverages	2021	23.25
Distribution (horizontal percentages)	Quintile 4	01 Food and non-alcoholic beverages	2020	22.40
Distribution (horizontal percentages)	Quintile 4	01 Food and non-alcoholic beverages	2019	22.76
Distribution (horizontal percentages)	Quintile 4	01 Food and non-alcoholic beverages	2018	22.77
Distribution (horizontal percentages)	Quintile 4	01 Food and non-alcoholic beverages	2017	22.64
Distribution (horizontal percentages)	Quintile 4	01 Food and non-alcoholic beverages	2016	22.55
Distribution (horizontal percentages)	Quintile 4	01 Food and non-alcoholic beverages	2015	22.62
Distribution (horizontal percentages)	Quintile 4	01 Food and non-alcoholic beverages	2014	22.56
Distribution (horizontal percentages)	Quintile 4	01 Food and non-alcoholic beverages	2013	22.66
Distribution (horizontal percentages)	Quintile 4	01 Food and non-alcoholic beverages	2012	22.61
Distribution (horizontal percentages)	Quintile 4	01 Food and non-alcoholic beverages	2011	22.42
Distribution (horizontal percentages)	Quintile 4	01 Food and non-alcoholic beverages	2010	22.94
Distribution (horizontal percentages)	Quintile 4	01 Food and non-alcoholic beverages	2009	22.02
Distribution (horizontal percentages)	Quintile 4	01 Food and non-alcoholic beverages	2008	22.57
Distribution (horizontal percentages)	Quintile 4	01 Food and non-alcoholic beverages	2007	22.59
Distribution (horizontal percentages)	Quintile 4	01 Food and non-alcoholic beverages	2006	23.52
Distribution (horizontal percentages)	Quintile 4	02 Alcoholic beverages and tobacco	2023	23.94
Distribution (horizontal percentages)	Quintile 4	02 Alcoholic beverages and tobacco	2022	25.62
Distribution (horizontal percentages)	Quintile 4	02 Alcoholic beverages and tobacco	2021	23.76
Distribution (horizontal percentages)	Quintile 4	02 Alcoholic beverages and tobacco	2020	23.85
Distribution (horizontal percentages)	Quintile 4	02 Alcoholic beverages and tobacco	2019	23.17
Distribution (horizontal percentages)	Quintile 4	02 Alcoholic beverages and tobacco	2018	23.52
Distribution (horizontal percentages)	Quintile 4	02 Alcoholic beverages and tobacco	2017	22.20
Distribution (horizontal percentages)	Quintile 4	02 Alcoholic beverages and tobacco	2016	21.41
Distribution (horizontal percentages)	Quintile 4	02 Alcoholic beverages and tobacco	2015	23.32
Distribution (horizontal percentages)	Quintile 4	02 Alcoholic beverages and tobacco	2014	23.28
Distribution (horizontal percentages)	Quintile 4	02 Alcoholic beverages and tobacco	2013	22.69
Distribution (horizontal percentages)	Quintile 4	02 Alcoholic beverages and tobacco	2012	23.62
Distribution (horizontal percentages)	Quintile 4	02 Alcoholic beverages and tobacco	2011	21.66
Distribution (horizontal percentages)	Quintile 4	02 Alcoholic beverages and tobacco	2010	22.17
Distribution (horizontal percentages)	Quintile 4	02 Alcoholic beverages and tobacco	2009	22.24
Distribution (horizontal percentages)	Quintile 4	02 Alcoholic beverages and tobacco	2008	23.20
Distribution (horizontal percentages)	Quintile 4	02 Alcoholic beverages and tobacco	2007	22.67
Distribution (horizontal percentages)	Quintile 4	02 Alcoholic beverages and tobacco	2006	23.65
Distribution (horizontal percentages)	Quintile 4	03 Clothing and footwear	2023	24.12
Distribution (horizontal percentages)	Quintile 4	03 Clothing and footwear	2022	23.68
Distribution (horizontal percentages)	Quintile 4	03 Clothing and footwear	2021	24.71
Distribution (horizontal percentages)	Quintile 4	03 Clothing and footwear	2020	24.40
Distribution (horizontal percentages)	Quintile 4	03 Clothing and footwear	2019	24.83
Distribution (horizontal percentages)	Quintile 4	03 Clothing and footwear	2018	24.82
Distribution (horizontal percentages)	Quintile 4	03 Clothing and footwear	2017	24.53
Distribution (horizontal percentages)	Quintile 4	03 Clothing and footwear	2016	24.28
Distribution (horizontal percentages)	Quintile 4	03 Clothing and footwear	2015	25.34
Distribution (horizontal percentages)	Quintile 4	03 Clothing and footwear	2014	24.36
Distribution (horizontal percentages)	Quintile 4	03 Clothing and footwear	2013	23.80
Distribution (horizontal percentages)	Quintile 4	03 Clothing and footwear	2012	23.99
Distribution (horizontal percentages)	Quintile 4	03 Clothing and footwear	2011	24.47
Distribution (horizontal percentages)	Quintile 4	03 Clothing and footwear	2010	24.54
Distribution (horizontal percentages)	Quintile 4	03 Clothing and footwear	2009	23.71
Distribution (horizontal percentages)	Quintile 4	03 Clothing and footwear	2008	24.20
Distribution (horizontal percentages)	Quintile 4	03 Clothing and footwear	2007	23.78
Distribution (horizontal percentages)	Quintile 4	03 Clothing and footwear	2006	23.79
Distribution (horizontal percentages)	Quintile 4	04 Housing, water, electricity, gas and other fuels	2023	22.21
Distribution (horizontal percentages)	Quintile 4	04 Housing, water, electricity, gas and other fuels	2022	22.69
Distribution (horizontal percentages)	Quintile 4	04 Housing, water, electricity, gas and other fuels	2021	22.37
Distribution (horizontal percentages)	Quintile 4	04 Housing, water, electricity, gas and other fuels	2020	21.95
Distribution (horizontal percentages)	Quintile 4	04 Housing, water, electricity, gas and other fuels	2019	22.08
