Type of data	Macroeconomic aggregates: Nivel 1	Macroeconomic aggregates: Nivel 2	Levels and rates	Period	Total
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Information and communications (J, NACE Rev. 2)	Annual variation	2001QI	9.4127
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Information and communications (J, NACE Rev. 2)	Annual variation	2000QIV	10.7067
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Information and communications (J, NACE Rev. 2)	Annual variation	2000QIII	9.3885
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Information and communications (J, NACE Rev. 2)	Annual variation	2000QII	9.0416
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Information and communications (J, NACE Rev. 2)	Annual variation	2000QI	10.7985
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Information and communications (J, NACE Rev. 2)	Annual variation	1999QIV	7.3957
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Information and communications (J, NACE Rev. 2)	Annual variation	1999QIII	9.3188
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Information and communications (J, NACE Rev. 2)	Annual variation	1999QII	8.9850
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Information and communications (J, NACE Rev. 2)	Annual variation	1999QI	5.6681
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Information and communications (J, NACE Rev. 2)	Annual variation	1998QIV	8.7098
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Information and communications (J, NACE Rev. 2)	Annual variation	1998QIII	8.4515
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Information and communications (J, NACE Rev. 2)	Annual variation	1998QII	10.6588
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Information and communications (J, NACE Rev. 2)	Annual variation	1998QI	13.6431
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Information and communications (J, NACE Rev. 2)	Annual variation	1997QIV	13.0736
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Information and communications (J, NACE Rev. 2)	Annual variation	1997QIII	12.8502
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Information and communications (J, NACE Rev. 2)	Annual variation	1997QII	10.5382
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Information and communications (J, NACE Rev. 2)	Annual variation	1997QI	10.0651
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Information and communications (J, NACE Rev. 2)	Annual variation	1996QIV	9.7127
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Information and communications (J, NACE Rev. 2)	Annual variation	1996QIII	10.0563
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Information and communications (J, NACE Rev. 2)	Annual variation	1996QII	11.2453
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Information and communications (J, NACE Rev. 2)	Annual variation	1996QI	10.8477
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Information and communications (J, NACE Rev. 2)	Annual variation	1995QIV	""
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Information and communications (J, NACE Rev. 2)	Annual variation	1995QIII	""
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Information and communications (J, NACE Rev. 2)	Annual variation	1995QII	""
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Information and communications (J, NACE Rev. 2)	Annual variation	1995QI	""
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2025QIV	""
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2025QIII	""
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2025QII	""
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2025QI	""
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2024QIV	""
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2024QIII	""
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2024QII	20,279
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2024QI	19,678
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2023QIV	20,124
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2023QIII	19,535
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2023QII	17,886
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2023QI	15,939
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2022QIV	14,522
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2022QIII	13,072
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2022QII	12,677
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2022QI	12,391
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2021QIV	12,511
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2021QIII	11,886
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2021QII	10,939
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2021QI	11,277
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2020QIV	10,890
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2020QIII	11,551
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2020QII	10,630
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2020QI	12,869
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2019QIV	10,475
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2019QIII	10,975
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2019QII	10,960
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2019QI	11,593
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2018QIV	12,703
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2018QIII	10,852
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2018QII	10,866
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2018QI	10,177
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2017QIV	9,819
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2017QIII	10,824
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2017QII	10,563
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2017QI	9,493
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2016QIV	10,391
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2016QIII	9,678
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2016QII	9,688
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2016QI	9,435
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2015QIV	9,613
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2015QIII	9,557
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2015QII	9,516
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2015QI	8,626
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2014QIV	9,418
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2014QIII	9,121
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2014QII	9,423
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2014QI	8,941
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2013QIV	7,587
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2013QIII	8,081
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2013QII	8,869
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2013QI	9,234
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2012QIV	9,248
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2012QIII	9,476
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2012QII	10,872
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2012QI	10,397
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2011QIV	10,082
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2011QIII	9,721
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2011QII	9,588
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2011QI	9,444
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2010QIV	9,938
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2010QIII	9,649
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2010QII	10,239
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2010QI	11,455
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2009QIV	12,961
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2009QIII	13,328
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2009QII	13,827
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2009QI	15,105
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2008QIV	14,672
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2008QIII	12,633
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2008QII	12,042
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2008QI	12,738
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2007QIV	13,219
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2007QIII	13,226
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2007QII	10,711
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2007QI	10,963
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2006QIV	10,708
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2006QIII	10,392
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2006QII	11,003
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2006QI	9,525
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2005QIV	9,462
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2005QIII	9,297
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2005QII	9,233
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2005QI	9,472
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2004QIV	9,478
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2004QIII	8,591
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2004QII	8,617
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2004QI	8,584
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2003QIV	8,053
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2003QIII	8,322
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2003QII	8,045
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2003QI	8,461
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2002QIV	7,807
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2002QIII	8,019
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2002QII	8,428
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2002QI	7,600
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2001QIV	7,055
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2001QIII	8,031
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2001QII	7,220
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2001QI	7,611
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2000QIV	6,788
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2000QIII	6,583
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2000QII	6,037
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	2000QI	6,096
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	1999QIV	5,791
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	1999QIII	6,024
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	1999QII	5,847
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	1999QI	5,348
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	1998QIV	5,939
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	1998QIII	5,885
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	1998QII	5,685
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	1998QI	5,636
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	1997QIV	5,941
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	1997QIII	5,543
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	1997QII	5,484
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	1997QI	5,146
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	1996QIV	5,490
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	1996QIII	5,203
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	1996QII	5,166
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	1996QI	4,918
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	1995QIV	4,967
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	1995QIII	5,069
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	1995QII	4,923
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Base data	1995QI	4,929
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2025QIV	""
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2025QIII	""
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2025QII	""
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2025QI	""
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2024QIV	""
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2024QIII	""
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2024QII	3.0542
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2024QI	-2.2163
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2023QIV	3.0151
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2023QIII	9.2195
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2023QII	12.2153
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2023QI	9.7576
