Type of data	Overall and by COICOP group	Period	Total
Year-to-date change	Overall index	1972M05	1.5
Year-to-date change	Overall index	1972M04	1.0
Year-to-date change	Overall index	1972M03	1.0
Year-to-date change	Overall index	1972M02	0.0
Year-to-date change	Overall index	1972M01	0.1
Year-to-date change	Overall index	1971M12	9.6
Year-to-date change	Overall index	1971M11	8.2
Year-to-date change	Overall index	1971M10	6.8
Year-to-date change	Overall index	1971M09	5.6
Year-to-date change	Overall index	1971M08	4.4
Year-to-date change	Overall index	1971M07	4.2
Year-to-date change	Overall index	1971M06	4.2
Year-to-date change	Overall index	1971M05	3.8
Year-to-date change	Overall index	1971M04	3.1
Year-to-date change	Overall index	1971M03	2.0
Year-to-date change	Overall index	1971M02	1.0
Year-to-date change	Overall index	1971M01	1.1
Year-to-date change	Overall index	1970M12	6.8
Year-to-date change	Overall index	1970M11	6.5
Year-to-date change	Overall index	1970M10	6.2
Year-to-date change	Overall index	1970M09	5.1
Year-to-date change	Overall index	1970M08	4.7
Year-to-date change	Overall index	1970M07	3.0
Year-to-date change	Overall index	1970M06	1.1
Year-to-date change	Overall index	1970M05	0.8
Year-to-date change	Overall index	1970M04	1.4
Year-to-date change	Overall index	1970M03	0.9
Year-to-date change	Overall index	1970M02	0.1
Year-to-date change	Overall index	1970M01	0.5
Year-to-date change	Overall index	1969M12	3.4
Year-to-date change	Overall index	1969M11	2.3
Year-to-date change	Overall index	1969M10	1.4
Year-to-date change	Overall index	1969M09	1.1
Year-to-date change	Overall index	1969M08	0.9
Year-to-date change	Overall index	1969M07	0.6
Year-to-date change	Overall index	1969M06	-0.2
Year-to-date change	Overall index	1969M05	0.9
Year-to-date change	Overall index	1969M04	0.9
Year-to-date change	Overall index	1969M03	-0.2
Year-to-date change	Overall index	1969M02	-0.8
Year-to-date change	Overall index	1969M01	-0.2
Year-to-date change	Overall index	1968M12	2.9
Year-to-date change	Overall index	1968M11	2.2
Year-to-date change	Overall index	1968M10	1.5
Year-to-date change	Overall index	1968M09	1.2
Year-to-date change	Overall index	1968M08	1.4
Year-to-date change	Overall index	1968M07	1.3
Year-to-date change	Overall index	1968M06	2.2
Year-to-date change	Overall index	1968M05	1.9
Year-to-date change	Overall index	1968M04	2.2
Year-to-date change	Overall index	1968M03	1.3
Year-to-date change	Overall index	1968M02	0.3
Year-to-date change	Overall index	1968M01	0.3
Year-to-date change	Overall index	1967M12	6.6
Year-to-date change	Overall index	1967M11	6.6
Year-to-date change	Overall index	1967M10	4.4
Year-to-date change	Overall index	1967M09	4.0
Year-to-date change	Overall index	1967M08	3.7
Year-to-date change	Overall index	1967M07	2.2
Year-to-date change	Overall index	1967M06	2.1
Year-to-date change	Overall index	1967M05	3.0
Year-to-date change	Overall index	1967M04	2.7
Year-to-date change	Overall index	1967M03	1.3
Year-to-date change	Overall index	1967M02	0.8
Year-to-date change	Overall index	1967M01	0.1
Year-to-date change	Overall index	1966M12	5.3
Year-to-date change	Overall index	1966M11	4.6
Year-to-date change	Overall index	1966M10	2.8
Year-to-date change	Overall index	1966M09	2.2
Year-to-date change	Overall index	1966M08	2.5
Year-to-date change	Overall index	1966M07	2.3
Year-to-date change	Overall index	1966M06	2.4
Year-to-date change	Overall index	1966M05	2.2
Year-to-date change	Overall index	1966M04	0.7
Year-to-date change	Overall index	1966M03	-0.3
Year-to-date change	Overall index	1966M02	-0.3
Year-to-date change	Overall index	1966M01	-0.2
Year-to-date change	Overall index	1965M12	9.4
Year-to-date change	Overall index	1965M11	8.8
Year-to-date change	Overall index	1965M10	6.5
Year-to-date change	Overall index	1965M09	5.9
Year-to-date change	Overall index	1965M08	4.9
Year-to-date change	Overall index	1965M07	4.4
Year-to-date change	Overall index	1965M06	4.2
Year-to-date change	Overall index	1965M05	4.7
Year-to-date change	Overall index	1965M04	4.3
Year-to-date change	Overall index	1965M03	3.5
Year-to-date change	Overall index	1965M02	2.7
Year-to-date change	Overall index	1965M01	1.0
Year-to-date change	Overall index	1964M12	12.7
Year-to-date change	Overall index	1964M11	11.4
Year-to-date change	Overall index	1964M10	8.9
Year-to-date change	Overall index	1964M09	7.1
Year-to-date change	Overall index	1964M08	6.1
Year-to-date change	Overall index	1964M07	4.4
Year-to-date change	Overall index	1964M06	2.2
Year-to-date change	Overall index	1964M05	0.9
Year-to-date change	Overall index	1964M04	0.6
Year-to-date change	Overall index	1964M03	0.2
Year-to-date change	Overall index	1964M02	-0.1
Year-to-date change	Overall index	1964M01	-0.2
Year-to-date change	Overall index	1963M12	5.5
Year-to-date change	Overall index	1963M11	5.1
Year-to-date change	Overall index	1963M10	3.8
Year-to-date change	Overall index	1963M09	3.5
Year-to-date change	Overall index	1963M08	3.7
Year-to-date change	Overall index	1963M07	2.7
Year-to-date change	Overall index	1963M06	1.6
Year-to-date change	Overall index	1963M05	3.5
Year-to-date change	Overall index	1963M04	2.9
Year-to-date change	Overall index	1963M03	3.0
Year-to-date change	Overall index	1963M02	1.0
Year-to-date change	Overall index	1963M01	0.2
Year-to-date change	Overall index	1962M12	9.9
Year-to-date change	Overall index	1962M11	8.5
Year-to-date change	Overall index	1962M10	5.8
Year-to-date change	Overall index	1962M09	4.8
Year-to-date change	Overall index	1962M08	4.2
Year-to-date change	Overall index	1962M07	4.4
Year-to-date change	Overall index	1962M06	4.4
Year-to-date change	Overall index	1962M05	3.9
Year-to-date change	Overall index	1962M04	2.6
Year-to-date change	Overall index	1962M03	1.1
Year-to-date change	Overall index	1962M02	0.3
Year-to-date change	Overall index	1962M01	-0.2
Year-to-date change	Overall index	1961M12	""
Year-to-date change	Overall index	1961M11	""
Year-to-date change	Overall index	1961M10	""
Year-to-date change	Overall index	1961M09	""
Year-to-date change	Overall index	1961M08	""
Year-to-date change	Overall index	1961M07	""
Year-to-date change	Overall index	1961M06	""
Year-to-date change	Overall index	1961M05	""
Year-to-date change	Overall index	1961M04	""
Year-to-date change	Overall index	1961M03	""
Year-to-date change	Overall index	1961M02	""
Year-to-date change	Overall index	1961M01	""
