"United Nations: Demographic Yearbook, Historical supplement - Nations Unies: Annuaire démographique, supplément rétrospectif",,,,,,,,,,,,,,,,,,

"2. Population by sex, residence, and intercensal rates of increase for total population, each census: 1948-1997",,,,,,,,,,,,,,,,,,
"Population selon le sexe, résidence et taux d'accroissement intercensitaire pour la population totale, chaque recensement: 1948-1997",,,,,,,,,,,,,,,,,,

(See notes at end of table. - Voir notes à la fin du tableau.),,,,,,,,,,,,,,,,,,

"Continent, country or area and date",,,Source[a],Enumerated population,,,,,,Annual rate,,Urban population,,,,Rural population,,
,Bosnia and Herzegovina - Bosnie-Herzégovine,,,,,,,,,,,,,,,,,
,,31 III 1991,Cdf,4377033,,2183795,,2193238,,[...],,1730821,,39.5,,2646212,,60.5
,Bulgaria - Bulgarie,,,,,,,,,,,,,,,,,
,,1 XII 1956,Cdf,7613709,,3799356,,3814353,,[...],,2556071,,33.6,,5057638,,66.4
,,1 XII 1965,Cdf,8227866,,4114167,,4113699,,0.9,,3822824,,46.5,,4405042,,53.5
,,2 XII 1975,Cdf,8729666,,4351865,,4377801,,0.6,,[...],,[...],,[...],,[...] 
,,4 XII 1985,Cdf,8948388,,4430061,,4518327,,0.2,,5796330,,64.8,,3152058,,35.2
,,4 XII 1992,Cdf,8472724,,[...],,[...],,-0.8,,[...],,[...],,[...],,[...] 
,Channel Islands - Iles Anglo-Normandes,,,,,,,,,,,,,,,,,
,,8 IV 1951,Cdf,102806,,49382,,53424,,[...],,[...],,[...],,[...],,[...] 
,,23 IV 1961,Cdf,110649,,53433,,57216,,0.7,,[...],,[...],,[...],,[...] 
,,4 IV 1971,Cdf,123063,,59648,,63415,,1.1,,[...],,[...],,[...],,[...] 
,,5 IV 1981,Cdf,129363,,62197,,67166,,0.5,,[...],,[...],,[...],,[...] 
,,23 III 1986,Cdf,135694,,65610,,70084,,1,,[...],,[...],,[...],,[...] 
,,21 IV 1991,Cdf,142949,,69159,,73790,,1,,[...],,[...],,[...],,[...] 
,,10 III 1996,Cdf,143831,,69638,,74193,,0.1,,[...],,[...],,[...],,[...] 
,Channel Islands: Guernsey - Iles Anglo-Normandes: Guernesey,,,,,,,,,,,,,,,,,
,,8 IV 1951,Cdf,45496,,22091,,23405,,[...],,16849,,37,,28647,,63
,,23 IV 1961,Cdf,47099,,22718,,24381,,0.3,,15804,,33.6,,31295,,66.4
,,25 IV 1971,Cdf,53734,,25878,,27856,,1.3,,[...],,[...],,[...],,[...] 
,,25 IV 1976,Cdf,53637,,25909,,27728,,0,,[...],,[...],,[...],,[...] 
,,5 IV 1981,Cdf,53313,,25701,,27612,,-0.1,,15587,,29.2,,37726,,70.8
,,23 III 1986,Cdf,55482,,26859,,28623,,0.8,,[...],,[...],,[...],,[...] 
,,21 IV 1991,Cdf,58867,,28297,,30570,,1.2,,[...],,[...],,[...],,[...] 
,,10 III 1996,Cdf,58681,,28244,,30437,,0.1,,[...],,[...],,[...],,[...] 
,Jersey,,,,,,,,,,,,,,,,,
,,8 IV 1951,Cdf,57310,,27291,,30019,,[...],,25364,,44.3,,31946,,55.7
,,23 IV 1961,Cdf,63550,,30715,,32835,,1,,26594,,41.8,,36956,,58.2
,,4 IV 1971,Cdf,69329,,33770,,35559,,0.9,,[...],,[...],,[...],,[...] 
,,11 VI 1976,Cdf,74470,,36010,,38460,,1.4,,[...],,[...],,[...],,[...] 
,,5 IV 1981,Cdf,76050,,36496,,39554,,0.4,,[...],,[...],,[...],,[...] 
,,23 III 1986,Cdf,80212,,38751,,41461,,1.1,,[...],,[...],,[...],,[...] 
,,12 III 1989,Cdf,82809,,40086,,42723,,1.1,,[...],,[...],,[...],,[...] 
,,10 III 1991,Cdf,84082,,40862,,43220,,0.8,,[...],,[...],,[...],,[...] 
,,10 III 1996,Cdf,85150,,41394,,43756,,0.3,,[...],,[...],,[...],,[...] 
,Croatia - Croatie,,,,,,,,,,,,,,,,,
,,31 III 1948,Cdf,3779858,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,,31 III 1953,Cdf,3936022,,[...],,[...],,0.8,,[...],,[...],,[...],,[...] 
,,31 III 1961,Cdf,4159696,,[...],,[...],,0.7,,[...],,[...],,[...],,[...] 
,,31 III 1971,Cdf,4426221,,[...],,[...],,0.6,,[...],,[...],,[...],,[...] 
,,31 III 1981,Cdf,4601469,,[...],,[...],,0.4,,[...],,[...],,[...],,[...] 
,,31 III 1991,Cdf,4784265,,2318623,,2465642,,0.4,,2597205,,54.3,,2187060,,45.7
,Former Czechoslovakia - Ancienne Tchécoslovaquie,,,,,,,,,,,,,,,,,
,,1 III 1950,Cdf,12338450,,5996783,,6341667,,[...],,6321845,,51.2,,6016605,,48.8
,,1 III 1961,Cdj,13745577,,6704674,,7040903,,[...],,6539012,,47.6,,7206565,,52.4
,,1 XII 1970,Cdj,14344986,,6988711,,7356275,,0.5,,7964266,,55.5,,6380720,,44.5
,,1 XI 1980,Cdj,15283095,,7441160,,7841935,,0.6,,[...],,[...],,[...],,[...] 
,,3 III 1991,Cdj,15567666,,7580442,,7987224,,0.2,,[...],,[...],,[...],,[...] 
,Czech Republic - République tchèque,,,,,,,,,,,,,,,,,
,,1 III 1950,Cdj,8896133,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,,1 III 1961,Cdj,9571531,,[...],,[...],,0.7,,[...],,[...],,[...],,[...] 
,,1 XII 1970,Cdj,9807697,,[...],,[...],,0.3,,[...],,[...],,[...],,[...] 
,,1 XI 1980,Cdj,10291927,,[...],,[...],,0.5,,[...],,[...],,[...],,[...] 
,,3 III 1991,Cdj,10302215,,4999935,,5302280,,0,,7745828,,75.2,,2556387,,24.8
,Denmark - Danemark [74],,,,,,,,,,,,,,,,,
,,7 XI 1950,Cdj,4281275,,2123100,,2158175,,[...],,2105817,,49.2,,2175458,,50.8
,,1 X 1955,Cdj,4448400,,2202300,,2246100,,0.8,,2149157,,48.3,,2299243,,51.7
,,26 IX 1960,Cdj,4585256,,2273208,,2312048,,0.6,,3397336,,74.1,,1187920,,25.9
,,27 IX 1965,Cdj,4767597,,2362496,,2405101,,0.8,,2171136,,45.5,,2596461,,54.5
,,9 XI 1970,Cdj,4937579,,2451397,,2486182,,0.7,,3301525,,66.9,,1636054,,33.1
,,1 I 1981,Cdj,5123989,,2528225,,2595764,,0.3,,4297092,,83.9,,826897,,16.1
,,1 I 1991,Cdj,5146469,,2536391,,2610078,,0,,[...],,[...],,[...],,[...] 
,Estonia - Estonie,,,,,,,,,,,,,,,,,
,,17 I 1979,Cdf,1464476,,677274,,787202,,[...],,1016826,,69.4,,447650,,30.6
,,12 I 1989,Cdf,1565662,,731392,,834270,,0.7,,1118829,,71.5,,446833,,28.5
,Faeroe Islands - Iles Féroé,,,,,,,,,,,,,,,,,
,,31 XII 1950,Cdj,31781,,16384,,15397,,[...],,[...],,[...],,[...],,[...] 
,,30 XI 1955,Cdj,32456,,16810,,15646,,0.4,,[...],,[...],,[...],,[...] 
,,26 IX 1960,Cdj,34596,,17959,,16637,,1.3,,21265,,61.5,,13331,,38.5
,,1 IV 1966,Cdj,37122,,19425,,17697,,1.2,,31627,,85.2,,5495,,14.8
,,16 II 1970,Cdj,38612,,20151,,18461,,1,,10726,,27.8,,27886,,72.2
,,22 IX 1977,Cdj,41969,,21997,,19972,,1.2,,[...],,[...],,[...],,[...] 
,Finland - Finlande,,,,,,,,,,,,,,,,,
,,31 XII 1950,Cdj,4029803,,1926161,,2103642,,[...],,1302427,,32.3,,2727376,,67.7
,,31 XII 1960,Cdj,4446222,,2142263,,2303959,,1,,2486737,,55.9,,1959485,,44.1
,,31 XII 1970,Cdj,4598336,,2219985,,2378351,,0.3,,2948964,,64.1,,1649372,,35.9
,,31 XII 1975,Cdj,4717724,,2280773,,2436951,,0.5,,2775300,,58.8,,1942424,,41.2
,,1 XI 1980,Cdj,4784710,,2313165,,2471545,,0.3,,2864800,,59.9,,1919910,,40.1
,,17 XI 1985,Cdj,4910619,,2377978,,2532641,,0.5,,2938341,,59.8,,1972278,,40.2
,,31 XII 1990,Cdj,4998478,,2426204,,2572274,,0.4,,3079763,,61.6,,1918715,,38.4
,France [75],,,,,,,,,,,,,,,,,
,,10 V 1954,Cdj,42843520,,20551100,,22292420,,[...],,[...],,[...],,[...],,[...] 
,,7 III 1962,Cdj,46520271,,[...],,[...],,1,,29375405,,63.1,,17144866,,36.9
,,1 III 1968,Cdj,49778540,,[...],,[...],,1.1,,34827302,,70,,14951238,,30
,,20 II 1975,Cdj,52655802,,[...],,[...],,0.8,,[...],,[...],,[...],,[...] 
,,4 III 1982,Cdj,54334871,,[...],,[...],,0.4,,39872566,,73.4,,14462305,,26.6
,,5 III 1990,Cdj,56634299,,27553788,,29080511,,0.5,,41923233,,74,,14711066,,26
,Germany: Federal Republic of Germany - Allemagne: République fédérale d'Allemagne [76],,,,,,,,,,,,,,,,,
,,13 IX 1950,Cdj,49842624,,23262196,,26580428,,[...],,[...],,[...],,[...],,[...] 
,,6 VI 1961,Cdj,56174826,,26413362,,29761464,,1.1,,[...],,[...],,[...],,[...] 
,,27 V 1970,Cdj,60650584,,28866719,,31783865,,0.9,,[...],,[...],,[...],,[...] 
,,25 V 1987,Cdj,61077042,,29322923,,31754119,,0,,[...],,[...],,[...],,[...] 
,Germany: Former German Democratic Republic - Allemagne: Ancienne république démocratique allemande [76],,,,,,,,,,,,,,,,,
,,31 VIII 1950,Cdj,18388172,,8161189,,10226983,,[...],,[...],,[...],,[...],,[...] 
,,31 XII 1964,Cdj,17011931,,7751862,,9260069,,-0.6,,12401915,,72.9,,4610016,,27.1
,,1 I 1971,Cdj,17068318,,7865265,,9203053,,0,,12592304,,73.8,,4476014,,26.2
,,31 XII 1981,Cdj,16705635,,7849112,,8856523,,-0.2,,12765395,,76.4,,3940240,,23.6
,"Gibraltar [77], [78]",,,,,,,,,,,,,,,,,
,,3 VII 1951,Cdf,21314,,9931,,11383,,[...],,[...],,[...],,[...],,[...] 
,,3 X 1961,Cdf,21785,,10436,,11349,,0.2,,[...],,[...],,[...],,[...] 
,,6 X 1970,Cdf,26833,,13501,,13332,,2.3,,[...],,[...],,[...],,[...] 
,,9 XI 1981,Cdf,26479,,13824,,12655,,-0.1,,[...],,[...],,[...],,[...] 
,,14 X 1991,Cdf,26703,,13628,,13075,,0.1,,[...],,[...],,[...],,[...] 
,Greece - Grèce [79],,,,,,,,,,,,,,,,,
,,7 IV 1951,Cdf,7632801,,3721648,,3911153,,[...],,2807905,,36.8,,4824896,,63.2
,,19 III 1961,Cdf,8388553,,4091894,,4296659,,0.9,,[...],,[...],,[...],,[...] 
,,14 III 1971,Cdf,8768640,,4280060,,4488580,,0.4,,[...],,[...],,[...],,[...] 
,,5 IV 1981,Cdf,9739589,,4779571,,4960018,,1.1,,5654058,,58.1,,4085531,,41.9
,,17 III 1991,Cdf,10259900,,5055408,,5204492,,0.5,,6038981,,58.9,,4220919,,41.1
,Holy See - Saint-Siège [80],,,,,,,,,,,,,,,,,
,,30 IV 1948,Cdf,890,,548,,342,,[...],,[...],,[...],,[...],,[...] 
,Hungary - Hongrie,,,,,,,,,,,,,,,,,
,,1 I 1949,Cdf,9204799,,4423420,,4781379,,[...],,3355672,,36.5,,5849127,,63.5
,,1 I 1960,Cdf,9961044,,4804043,,5157001,,0.7,,3958407,,39.7,,6002637,,60.3
,,1 I 1970,Cdf,10322099,,5003651,,5318448,,0.4,,4666851,,45.2,,5655248,,54.8
,,1 I 1980,Cdf,10709463,,5188709,,5520754,,0.4,,5701565,,53.2,,5007898,,46.8
,,1 I 1990,Cdf,10374823,,4984904,,5389919,,-0.3,,6417273,,61.9,,3957550,,38.1
,Iceland - Islande,,,,,,,,,,,,,,,,,
,,1 XII 1950,Cdj,143973,,72249,,71724,,[...],,104749,,72.8,,39224,,27.2
,,1 XII 1960,Cdj,175680,,88693,,86987,,2,,79389,,45.2,,96291,,54.8
,,1 XII 1970,Cdj,204930,,103621,,101309,,1.5,,[...],,[...],,[...],,[...] 
,Ireland - Irlande,,,,,,,,,,,,,,,,,
,,8 IV 1951,Cdf,2960593,,1506597,,1453996,,[...],,1227393,,41.5,,1733200,,58.5
,,8 IV 1956,Cdf,2898264,,1462928,,1435336,,-0.4,,1284979,,44.3,,1613285,,55.7
,,9 IV 1961,Cdf,2818341,,1416549,,1401792,,-0.6,,1299147,,46.1,,1519194,,53.9
,,17 IV 1966,Cdf,2884002,,1449032,,1434970,,0.5,,1419064,,49.2,,1464938,,50.8
,,18 IV 1971,Cdf,2978248,,1495760,,1482488,,0.6,,1555614,,52.2,,1422634,,47.8
,,1 IV 1979,Cdf,3368217,,1693272,,1674945,,1.5,,[...],,[...],,[...],,[...] 
,,5 IV 1981,Cdf,3443405,,1729354,,1714051,,1.1,,1914785,,55.6,,1528620,,44.4
,,13 IV 1986,Cdf,3540643,,1769690,,1770953,,0.6,,1996778,,56.4,,1543865,,43.6
,,21 IV 1991,Cdf,3525719,,1753418,,1772301,,0.1,,2010700,,57,,1515019,,43
,,28 IV 1996,Cdf,3626087,,1800232,,1825855,,0.6,,2107991,,58.1,,1518096,,41.9
,Isle of Man - Ile de Man,,,,,,,,,,,,,,,,,
,,9 IV 1951,Cdf,55253,,25774,,29479,,[...],,29349,,53.1,,25904,,46.9
,,23 IV 1961,Cdf,48133,,22034,,26099,,-1.4,,[...],,[...],,[...],,[...] 
,,24 IV 1966,Cdf,50423,,23226,,27197,,0.9,,28514,,56.5,,21909,,43.5
,,25 IV 1971,Cdf,56289,,26461,,29828,,2.2,,31338,,55.7,,24951,,44.3
,,4 IV 1976,Cdf,60496,,28735,,31761,,1.4,,31352,,51.8,,29144,,48.2
,,6 IV 1981,Cdf,64679,,30901,,33778,,1.3,,46242,,71.5,,18437,,28.5
,,6 IV 1986,Cdf,64282,,30782,,33500,,-0.1,,46764,,72.7,,17518,,27.3
,,14 IV 1991,Cdf,69788,,33693,,36095,,1.6,,[...],,[...],,[...],,[...] 
,,14 IV 1996,Cdf,71714,,34797,,36917,,0.5,,[...],,[...],,[...],,[...] 
,Italy - Italie,,,,,,,,,,,,,,,,,
,,4 XI 1951,Cdj,47515537,,23258805,,24256732,,[...],,[...],,[...],,[...],,[...] 
,,15 X 1961,Cdj,50623569,,24783859,,25839710,,0.6,,24168720,,47.7,,26454849,,52.3
,,24 X 1971,Cdj,54136547,,26476223,,27660324,,0.7,,[...],,[...],,[...],,[...] 
,,25 X 1981,Cdf,56556911,,27506354,,29050557,,[...],,[...],,[...],,[...],,[...] 
,,20 X 1991,Cdf,59103833,,[...],,[...],,0.4,,[...],,[...],,[...],,[...] 
,Latvia - Lettonie,,,,,,,,,,,,,,,,,
,,17 I 1979,Cdf,2502816,,1151463,,1351353,,[...],,1697026,,67.8,,805790,,32.2
,,12 I 1989,Cdf,2666567,,1238806,,1427761,,0.6,,1888526,,70.8,,778041,,29.2
,Liechtenstein,,,,,,,,,,,,,,,,,
,,1 XII 1950,Cdf,13757,,6695,,7062,,[...],,[...],,[...],,[...],,[...] 
,,1 XII 1960,Cdf,16628,,8130,,8498,,1.9,,[...],,[...],,[...],,[...] 
,,1 XII 1970,Cdf,21350,,10616,,10734,,2.5,,[...],,[...],,[...],,[...] 
,,2 XII 1980,Cdf,25215,,[...],,[...],,1.7,,[...],,[...],,[...],,[...] 
,Lithuania - Lituanie,,,,,,,,,,,,,,,,,
,,17 I 1979,Cdf,3391490,,1599439,,1792051,,[...],,2034879,,60,,1356611,,40
,,12 I 1989,Cdf,3674802,,1738953,,1935849,,0.8,,2486832,,67.7,,1187970,,32.3
,Luxembourg,,,,,,,,,,,,,,,,,
,,31 XII 1960,Cdj,314889,,155481,,159408,,[...],,195830,,62.2,,119059,,37.8
,,31 XII 1966,Cdj,334790,,164575,,170215,,1,,211562,,63.2,,123228,,36.8
,,31 XII 1970,Cdj,339841,,166550,,173291,,0.4,,232465,,68.4,,107376,,31.6
,,31 III 1981,Cdj,364602,,177869,,186733,,0.6,,[...],,[...],,[...],,[...] 
,,31 III 1991,Cdj,384634,,188570,,196064,,0.5,,[...],,[...],,[...],,[...] 
,Malta - Malte [81],,,,,,,,,,,,,,,,,
,,14 VI 1948,Cdf,305991,,150665,,155326,,[...],,181414,,59.3,,124577,,40.7
,,30 XI 1957,Cdf,319620,,153108,,166512,,0.5,,203998,,63.8,,115622,,36.2
,,26 XI 1967,Cdf,314216,,150598,,163618,,-0.2,,296360,,94.3,,17856,,5.7
,,16 XI 1985,Cdf,345418,,169832,,175586,,0.5,,[...],,[...],,[...],,[...] 
,Monaco,,,,,,,,,,,,,,,,,
,,4 I 1951,Cdj,20202,,8972,,11230,,[...],,[...],,[...],,[...],,[...] 
,,4 I 1956,Cdj,20422,,9031,,11391,,0.2,,[...],,[...],,[...],,[...] 
,,31 I 1961,Cdj,22297,,9929,,12368,,1.8,,[...],,[...],,[...],,[...] 
,,20 III 1962,Cdj,21783,,9786,,11997,,-2.3,,[...],,[...],,[...],,[...] 
,,1 III 1968,Cdj,23035,,10424,,12611,,0.9,,[...],,[...],,[...],,[...] 
,,1 II 1975,Cdj,25029,,11438,,13591,,1.2,,[...],,[...],,[...],,[...] 
,,4 III 1982,Cdj,27063,,12598,,14465,,1.1,,[...],,[...],,[...],,[...] 
,,23 VII 1990,Cdj,29972,,14237,,15735,,1.3,,[...],,[...],,[...],,[...] 
,Netherlands - Pays-Bas,,,,,,,,,,,,,,,,,
,,31 V 1960,Cdj,11461964,,5706874,,5755090,,[...],,[...],,[...],,[...],,[...] 
,,28 II 1971,Cdj,13060115,,[...],,[...],,1.2,,[...],,[...],,[...],,[...] 
,,1 I 1991,Cdj,15010445,,7419501,,7590944,,0.7,,[...],,[...],,[...],,[...] 
,Norway - Norvège,,,,,,,,,,,,,,,,,
,,1 XII 1950,Cdj,3278546,,1625351,,1653195,,[...],,1054820,,32.2,,2223726,,67.8
,,1 XI 1960,Cdj,3591234,,1789406,,1801828,,0.9,,1152377,,32.1,,2438857,,67.9
,,1 XI 1970,Cdj,3874133,,1926148,,1947985,,0.8,,2554913,,65.9,,1319220,,34.1
,,1 XI 1980,Cdj,4091132,,2027083,,2064049,,0.5,,2893193,,70.7,,1197939,,29.3
,,3 XI 1990,Cdj,4247546,,2099881,,2147665,,0.4,,[...],,[...],,[...],,[...] 
,Poland - Pologne [82],,,,,,,,,,,,,,,,,
,,3 XII 1950,Cdf,24613684,,11546014,,13067670,,[...],,9605254,,39,,15008430,,61
,,6 XII 1960,Cdf,29405729,,14058565,,15347164,,1.8,,14206112,,48.3,,15199617,,51.7
,,8 XII 1970,Cdf,32642270,,15853618,,16788652,,1,,17064577,,52.3,,15577693,,47.7
,,7 XII 1978,Cdf,35061450,,17079587,,17981863,,0.9,,20150415,,57.5,,14911035,,42.5
,,6 XII 1988,Cdf,37878641,,18464373,,19414268,,0.8,,23174726,,61.2,,14703915,,38.8
,Portugal,,,,,,,,,,,,,,,,,
,,15 XII 1950,Cdf,8441312,,4060266,,4381046,,[...],,2634869,,31.2,,5806443,,68.8
,,15 XII 1960,Cdf,8851289,,4237854,,4613435,,0.5,,[...],,[...],,[...],,[...] 
,,15 XII 1970,Cdf,8568703,,4054115,,4514588,,-0.3,,[...],,[...],,[...],,[...] 
,,16 III 1981,Cdf,9833014,,4737715,,5095299,,1.3,,2918549,,29.7,,6914465,,70.3
,,15 IV 1991,Cdf,9862540,,4754632,,5107908,,0,,4757134,,48.2,,5105406,,51.8
,Republic of Moldova - République de Moldavie,,,,,,,,,,,,,,,,,
,,17 I 1979,Cdf,3949756,,1864747,,2085009,,[...],,1532924,,38.8,,2416832,,61.2
,,12 I 1989,Cdf,4337592,,2058160,,2279432,,0.9,,2036407,,46.9,,2301185,,53.1
,Romania - Roumanie,,,,,,,,,,,,,,,,,
,,25 I 1948,Cdf,15872624,,7671569,,8201055,,[...],,3713139,,23.4,,12159485,,76.6
,,21 II 1956,Cdf,17489450,,8503420,,8986030,,1.2,,5474264,,31.3,,12015186,,68.7
,,15 III 1966,Cdf,19103163,,9351075,,9752088,,0.9,,7305714,,38.2,,11797449,,61.8
,,5 I 1977,Cdf,21559910,,10626055,,10933855,,1.1,,10239345,,47.5,,11320565,,52.5
,,7 I 1992,Cdf,22810035,,11213763,,11596272,,0.4,,12391819,,54.3,,10418216,,45.7
,Russian Federation - Fédération de Russie,,,,,,,,,,,,,,,,,
,,17 I 1979,Cdf,137409921,,63208265,,74201656,,[...],,94942296,,69.1,,42467625,,30.9
,,12 I 1989,Cdf,147021869,,68713869,,78308000,,0.7,,107959002,,73.4,,39062867,,26.6
,San Marino - Saint-Marin,,,,,,,,,,,,,,,,,
,,30 XI 1976,Cdf,19149,,9654,,9495,,[...],,14251,,74.4,,4898,,25.6
,Slovakia - Slovaquie,,,,,,,,,,,,,,,,,
,,3 III 1991,Cdj,5274335,,2574061,,2700274,,[...],,2997353,,56.8,,2276982,,43.2
,Slovenia - Slovénie,,,,,,,,,,,,,,,,,
,,31 III 1991,Cdf,1965986,,952611,,1013375,,[...],,993049,,50.5,,972937,,49.5
,Spain - Espagne,,,,,,,,,,,,,,,,,
,,31 XII 1950,Cdf,27976755,,13469684,,14507071,,[...],,10340615,,37,,17636140,,63
,,31 XII 1960,Cdf,30528539,,14810135,,15718404,,0.9,,[...],,[...],,[...],,[...] 
,,31 XII 1970,Cdf,33956376,,16575164,,17381212,,1.1,,[...],,[...],,[...],,[...] 
,,1 III 1981,Cdf,37746260,,18529764,,19216496,,1,,[...],,[...],,[...],,[...] 
,,1 III 1991,Cdf,39433942,,19338083,,20095859,,0.4,,[...],,[...],,[...],,[...] 
,Svalbard and Jan Mayen Islands - Svalbard et Ile Jan-Mayen,,,,,,,,,,,,,,,,,
,,1 XI 1960,Cdf,3431,,2545,,886,,[...],,[...],,[...],,[...],,[...] 
,Sweden - Suède,,,,,,,,,,,,,,,,,
,,31 XII 1950,Cdj,7041829,,3506442,,3535387,,[...],,3342603,,47.5,,3699226,,52.5
,,1 XI 1960,Cdj,7495316,,3738881,,3756435,,0.6,,5453624,,72.8,,2041692,,27.2
,,1 XI 1965,Cdj,7766424,,3879941,,3886483,,0.7,,6012529,,77.4,,1753895,,22.6
,,1 XI 1970,Cdj,8076903,,4033937,,4042966,,0.8,,6574933,,81.4,,1501970,,18.6
,,1 XI 1975,Cdj,8208544,,4081820,,4126724,,0.3,,6789432,,82.7,,1419112,,17.3
,,8 IX 1980,Cdj,8320438,,4122198,,4198240,,0.3,,6913493,,83.1,,1406945,,16.9
,,1 XI 1985,Cdj,8360178,,4128367,,4231811,,0.1,,[...],,[...],,[...],,[...] 
,,1 IX 1990,Cdj,8587353,,4242351,,4345002,,0.5,,7164769,,83.4,,1422584,,16.6
,Switzerland - Suisse,,,,,,,,,,,,,,,,,
,,1 XII 1950,Cdj,4714992,,2272025,,2442967,,[...],,1720057,,36.5,,2994935,,63.5
,,1 XII 1960,Cdj,5429061,,2663432,,2765629,,1.4,,2784988,,51.3,,2644073,,48.7
,,1 XII 1970,Cdj,6269783,,3089326,,3180457,,1.4,,3613767,,57.6,,2656016,,42.4
,,2 XII 1980,Cdj,6365960,,3114812,,3251148,,0.2,,3632590,,57.1,,2733370,,42.9
,,4 XII 1990,Cdj,6873687,,3390212,,3483475,,0.8,,4737376,,68.9,,2136311,,31.1
,The Former Yugoslav Rep. of Macedonia - L'ex-République yougoslave de Macédoine,,,,,,,,,,,,,,,,,
,,31 III 1948,Cdj,1152986,,584002,,568984,,[...],,[...],,[...],,[...],,[...] 
,,31 III 1953,Cdj,1304514,,659861,,644653,,2.5,,[...],,[...],,[...],,[...] 
,,31 III 1961,Cdj,1406003,,710074,,695929,,0.9,,[...],,[...],,[...],,[...] 
,,31 III 1971,Cdj,1647308,,834692,,812616,,1.6,,[...],,[...],,[...],,[...] 
,,31 III 1981,Cdj,1909136,,968143,,940993,,1.5,,[...],,[...],,[...],,[...] 
,,31 III 1991,Cdj,2033964,,1027352,,1006612,,0.6,,1181894,,58.1,,852070,,41.9
,,20 VI 1994,Cdj,1945932,,974255,,971677,,-1.5,,1163598,,59.8,,782334,,40.2
,Ukraine,,,,,,,,,,,,,,,,,
,,15 I 1959,Cdf,41869046,,18575382,,23293664,,[...],,19147419,,45.7,,22721627,,54.3
,,15 I 1970,Cdf,47126517,,21305320,,25821197,,1.1,,25688560,,54.5,,21437957,,45.5
,,17 I 1979,Cdf,49609333,,22616317,,26993016,,0.6,,30168937,,60.8,,19440396,,39.2
,,12 I 1989,Cdj,51452034,,23745108,,27706926,,[...],,[...],,[...],,[...],,[...] 
,United Kingdom - Royaume-Uni,,,,,,,,,,,,,,,,,
,,8 IV 1951,Cdf,50225236,,24117812,,26107424,,[...],,35361797,,70.4,,14863439,,29.6
,,23 IV 1961,Cdf,52708934,,25480791,,27228143,,0.5,,[...],,[...],,[...],,[...] 
,,24 IV 1966,Sdf,53788490,,26043210,,27745280,,[...],,[...],,[...],,[...],,[...] 
,,25 IV 1971,Cdf,55506131,,26948078,,28558053,,[...],,[...],,[...],,[...],,[...] 
,,5 IV 1981,Cdf,55678079,,27030383,,28647696,,0,,[...],,[...],,[...],,[...] 
,,21 IV 1991,Cdf,56352200,,[...],,[...],,0.1,,[...],,[...],,[...],,[...] 
,United Kingdom: England and Wales - Royaume-Uni: Angleterre et Galle,,,,,,,,,,,,,,,,,
,,8 IV 1951,Cdf,43757888,,21015633,,22742255,,[...],,35361797,,80.8,,8396091,,19.2
,,23 IV 1961,Cdf,46104548,,22303833,,23800715,,0.5,,36871668,,80,,9232880,,20
,,24 IV 1966,Sdf,47135510,,22840580,,24294930,,[...],,37217270,,79,,9918240,,21
,,25 IV 1971,Cdf,48749575,,23682980,,25066595,,[...],,[...],,[...],,[...],,[...] 
,,5 IV 1981,Cdf,49154687,,23873362,,25281325,,0.1,,[...],,[...],,[...],,[...] 
,United Kingdom: Northern Ireland - Royaume-Uni: Irlande du Nord,,,,,,,,,,,,,,,,,
,,8 IV 1951,Cdf,1370933,,667821,,703112,,[...],,728297,,53.1,,642636,,46.9
,,23 IV 1961,Cdf,1425042,,694224,,730818,,0.4,,770001,,54,,655041,,46
,,9 X 1966,Cdf,1484775,,723884,,760891,,0.8,,789881,,53.2,,694894,,46.8
,,25 IV 1971,Cdf,1527593,,750476,,777117,,0.6,,841923,,55.1,,685670,,44.9
,,5 IV 1981,Cdf,1481959,,725217,,756742,,-0.3,,[...],,[...],,[...],,[...] 
,United Kingdom: Scotland - Royaume-Uni: Ecosse,,,,,,,,,,,,,,,,,
,,8 IV 1951,Cdf,5096415,,2434358,,2662057,,[...],,4226803,,82.9,,869612,,17.1
,,23 IV 1961,Cdf,5179344,,2482734,,2696610,,0.2,,3645988,,70.4,,1533356,,29.6
,,24 IV 1966,Sdf,5168210,,2478750,,2689460,,[...],,3912260,,75.7,,1255950,,24.3
,,25 IV 1971,Cdf,5228963,,2514622,,2714341,,[...],,3704823,,70.9,,1524140,,29.1
,,5 IV 1981,Cdf,5035315,,2428472,,2606843,,-0.4,,4414920,,87.7,,620395,,12.3
,Former Yugoslavia - Ancienne Yougoslavie,,,,,,,,,,,,,,,,,
,,15 III 1948,Cdj,15841566,,7615023,,8226543,,[...],,2557682,,16.1,,13283884,,83.9
,,31 III 1953,Cdj,16991449,,8231936,,8759513,,1.4,,3144675,,18.5,,13846774,,81.5
,,31 III 1961,Cdj,18549291,,9043424,,9505867,,1.1,,5243505,,28.3,,13305786,,71.7
,,31 III 1971,Cdj,20522972,,10077282,,10445690,,1,,7914526,,38.6,,12608446,,61.4
,,31 III 1981,Cdj,22424687,,11083768,,11340919,,0.9,,10336854,,46.1,,12087833,,53.9
,Yugoslavia - Yougoslavie,,,,,,,,,,,,,,,,,
