"United Nations: Demographic Yearbook, Historical supplement - Nations Unies: Annuaire démographique, supplément rétrospectif",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"3. Population by age, sex, and urban/rural residence, each census: 1948-1997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Population selon l'âge, le sexe et la résidence, urbaine/rurale, chaque recensement: 1948-1997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

(See notes at end of table. - Voir notes à la fin du tableau.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Continent, country or area,",,,,,Source[a],Code[b],Age (in years) - Age (en années),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"residence, sex and date",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Continent, pays ou zone,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"résidence, sexe et date",,,,,,,All ages, -1,, 1-4,, 5-9,, 10-14,, 15-19,, 20-24,, 25-29,, 30-34,, 35-39,, 40-44,, 45-49,, 50-54,, 55-59,, 60-64,, 65-69,, 70-74,, 75-79,, 80-84,, 85-89,, 90-94,, 95-99,, 100+,,Unknown
,,,,1 VII 1971,Edf,C,5397000,82300,,353500,,451300,,395900,,332600,,366200,,375100,,330800,,317900,,322100,,332100,,310100,,316400,,312600,,274900,,217900,,305300,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,,1 VII 1972,Edf,C,5462600,81400,,345800,,453800,,411000,,349400,,344300,,395600,,332700,,321200,,322800,,327100,,324500,,311100,,314400,,282400,,222900,,157000,,98800,,66400,[=>],[85+],,[85+],,[85+],,-
,,,,1 VII 1973,Edf,C,5524100,76200,,345400,,454700,,423000,,358500,,342100,,416300,,343800,,326000,,320300,,322700,,340100,,296100,,316300,,285500,,228800,,160300,,99900,,68100,[=>],[85+],,[85+],,[85+],,-
,United Kingdom: Northern Ireland - Royaume-Uni: Irlande du Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 VII 1948,,Edf,C,1361800,28700,,113400,,123300,,109700,,111400,,119700,,114000,,99100,,89300,,81900,,71500,,63000,,58200,,56000,,48800,,37100,,22100,,10000,,4600,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1949,,Edf,C,1371300,28200,,113300,,128400,,110800,,112300,,120200,,114400,,99500,,89500,,82200,,71700,,63300,,58400,,56200,,48900,,37300,,22200,,10000,,4500,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1950,,Edf,C,1368930,28004,,113530,,132689,,112095,,112717,,114055,,112027,,98366,,89431,,82158,,71972,,63495,,58611,,56391,,49095,,37383,,22262,,10035,,4614,[=>],[85+],,[85+],,[85+],,-
,,,8 IV 1951,,Cdf,C,1370921,26676,,111167,,129205,,111689,,108497,,100910,,99492,,91227,,94113,,89055,,80824,,76332,,62216,,54525,,47401,,40520,,27234,,13743,,6095,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1952,,Edf,C,1374700,27241,,111249,,134040,,112708,,108039,,101114,,96156,,92186,,90157,,90499,,81692,,76259,,64186,,54665,,46858,,39793,,27958,,13565,,6335,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1953,,Edf,C,1384100,28200,,109400,,135400,,116400,,109300,,102700,,94700,,94700,,86300,,91700,,82400,,77500,,65100,,55100,,47000,,39100,,28700,,14000,,6400,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1954,,Edf,C,1387300,27800,,109000,,135500,,119000,,111800,,100100,,92700,,95300,,84500,,90800,,84200,,77600,,67900,,54900,,48000,,38000,,29600,,14400,,6200,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1955,,Edf,C,1393800,27600,,108800,,136300,,123500,,112900,,99800,,92300,,94500,,83500,,92500,,83900,,78500,,67700,,57100,,47200,,37800,,28700,,15400,,5800,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1956,,Edf,C,1396600,28500,,108200,,136700,,126500,,112500,,99500,,91500,,91200,,85300,,89300,,85700,,77100,,71700,,56900,,47500,,38100,,28500,,15700,,6200,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1957,,Edf,C,1398500,28400,,109700,,134100,,130600,,112700,,98100,,90500,,89100,,87200,,86000,,87100,,78000,,71600,,58700,,47700,,37800,,28200,,16800,,6200,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1958,,Edf,C,1402300,29600,,109900,,133000,,131600,,116000,,98800,,89700,,86800,,89300,,81900,,88100,,78700,,72700,,59300,,47900,,37800,,27600,,17300,,6300,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1959,,Edf,C,1407700,29600,,111700,,132300,,131600,,118700,,101700,,88100,,85300,,90100,,80300,,87100,,80600,,72900,,61100,,47500,,38700,,26500,,17800,,6100,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1960,,Edf,C,1419800,30300,,114200,,132100,,132400,,122200,,103800,,87600,,85200,,89600,,79500,,88800,,80300,,74100,,61800,,49600,,38100,,26600,,17200,,6400,[=>],[85+],,[85+],,[85+],,-
,,,23 IV 1961,,Cdf,C,1425042,30767,,115752,,132444,,133171,,120237,,93752,,85239,,86481,,90938,,85067,,87025,,82043,,72542,,65725,,52209,,40062,,27034,,16166,,8388,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1962,,Edf,C,1435400,31200,,118200,,134500,,130300,,125800,,95300,,85000,,85100,,88900,,88400,,83800,,83200,,74100,,65500,,53800,,40300,,27500,,15800,,8700,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1963,,Edf,C,1446000,31900,,119600,,136400,,129400,,129000,,99700,,84900,,84000,,86700,,90800,,81000,,84400,,74800,,66100,,54600,,40500,,28000,,15600,,8600,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1964,,Edf,C,1458000,32900,,122000,,138000,,128800,,130200,,104600,,85800,,82800,,85500,,91100,,80200,,84800,,75600,,66800,,55500,,40800,,28600,,15600,,8400,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1965,,Edf,C,1469000,157600,[=>],[0-4],,140200,,128400,,130600,,109200,,86600,,82000,,84400,,90000,,80500,,85700,,75500,,67500,,56100,,42000,,28300,,16100,,8300,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1966,,Edf,C,1478000,32700,,126200,,142600,,129400,,130400,,115200,,86000,,80600,,83500,,87900,,83100,,83400,,77500,,66900,,57400,,42400,,28700,,15900,,8200,[=>],[85+],,[85+],,[85+],,-
,,,9 X 1966,,Cdf,C,1484775,32563,,127963,,146345,,132041,,125701,,106424,,87774,,83792,,84754,,88189,,83571,,83353,,77498,,68641,,58161,,43133,,28812,,16417,,9643,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1967,,Edf,C,1491000,32900,,257600,,148200,,133600,,125100,,107300,,88200,,83900,,84400,,87000,,85800,,80900,,78500,,69100,,58400,,43700,,29100,,16300,,9800,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1968,,Edf,C,1502000,32500,,129600,,151400,,135500,,125800,,108500,,89800,,84300,,83800,,85700,,87800,,79200,,79100,,69700,,58900,,44800,,29200,,16600,,9800,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1969,,Edf,C,1512500,32100,,129200,,154800,,137600,,126300,,110000,,92000,,84600,,83000,,84500,,88600,,77800,,80000,,70300,,59700,,45600,,29500,,17100,,9800,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1970,,Edf,C,1524000,31300,,128600,,156900,,140600,,127400,,114000,,94000,,85100,,82100,,84200,,86900,,79100,,79500,,71200,,59500,,46700,,29800,,17500,,9600,[=>],[85+],,[85+],,[85+],,-
,,,25 IV 1971,,Cdj,C,1534000,31500,,127300,,158100,,144000,,128700,,115900,,96200,,84500,,82500,,83300,,85600,,80500,,79000,,71400,,60300,,47200,,30800,,17500,,9700,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1971,,Edf,C,1534000,158800,[=>],[0-4],,158100,,144000,,128700,,115900,,96200,,84500,,82500,,83300,,85600,,80500,,79000,,71400,,60300,,47200,,30800,,17500,,9700,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1972,,Edf,C,1549400,30100,,126000,,159800,,146900,,132000,,119100,,100100,,85700,,83300,,83000,,84400,,82900,,76700,,72300,,60900,,47600,,31600,,17600,,9400,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1973,,Edf,C,1547100,28800,,120100,,157400,,148600,,131600,,113700,,106800,,91200,,83700,,82800,,83200,,84100,,73700,,73100,,61800,,48200,,31400,,17000,,9900,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1974,,Edf,C,1546768,27500,,117201,,155573,,151552,,133860,,113629,,105790,,93484,,84600,,81789,,82271,,84405,,72578,,73085,,62125,,48651,,32151,,16828,,9696,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1975,,Edf,C,1537206,25529,,113037,,152581,,153801,,135951,,111486,,104001,,95215,,84732,,80512,,81617,,82415,,72990,,72985,,62403,,49120,,32750,,16731,,9350,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1976,,Edf,C,1538049,25855,,108468,,149973,,154731,,139842,,115366,,102659,,97626,,83912,,79878,,80940,,80778,,74761,,71151,,62991,,49150,,34048,,16915,,9005,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1977,,Edf,C,1537339,25055,,104792,,147212,,155527,,142321,,118386,,100020,,100460,,84468,,80324,,79977,,79634,,76584,,69237,,63281,,49771,,34209,,17434,,8647,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1978,,Edf,C,1538781,25219,,101408,,144081,,155054,,145508,,121292,,99907,,100115,,87451,,80469,,79573,,78561,,77720,,67091,,64056,,50419,,34644,,18173,,8040,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1979,,Edf,C,1543000,126600,[=>],[0-4],,140100,,153200,,148700,,125400,,100500,,99500,,89800,,81300,,78700,,78100,,78500,,66100,,64200,,50800,,35300,,18700,,7500,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1980,,Edf,C,1547272,27861,,101321,,134770,,149485,,149899,,129480,,101339,,98717,,92034,,81482,,77605,,77785,,77205,,66751,,64474,,51429,,36080,,20222,,9333,[=>],[85+],,[85+],,[85+],,-
,,,5 IV 1981,,Cdf,C,1481959,24537,,94004,,124564,,141201,,141979,,119757,,97958,,96745,,90708,,79554,,74637,,75708,,74841,,67627,,62841,,50112,,33941,,19827,,11418,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1982,,Edf,C,1567400,26900,,106200,,130100,,145600,,148400,,130200,,106600,,99100,,98200,,83400,,78600,,77300,,77000,,72700,,63700,,53800,,36100,,20700,,12800,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1984,,Edf,C,1578458,26978,,107766,,126578,,139369,,146885,,136835,,112433,,98978,,98812,,88848,,79915,,76342,,75457,,74803,,60969,,55422,,38064,,21227,,12777,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1985,,Edf,C,1557849,27567,,107296,,128014,,135820,,143496,,135321,,113852,,98023,,96785,,89189,,78925,,74030,,72344,,70441,,58913,,53555,,38895,,21836,,13547,[=>],[85+],,[85+],,[85+],,-
,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 VII 1948,,Edf,C,667200,14600,,57900,,63100,,56000,,56500,,60900,,57100,,47500,,42700,,38200,,32500,,29300,,27500,,26900,,23600,,17100,,9700,,4300,,1800,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1949,,Edf,C,672000,14600,,57700,,65800,,56400,,57200,,61100,,57300,,47700,,42800,,38300,,32600,,29400,,27600,,27000,,23600,,17200,,9700,,4300,,1700,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1950,,Edf,C,666965,14350,,58072,,67852,,57108,,57366,,55764,,55376,,46746,,42520,,38069,,32684,,29509,,27712,,27055,,23745,,17230,,9741,,4305,,1761,[=>],[85+],,[85+],,[85+],,-
,,,8 IV 1951,,Cdf,C,667819,13811,,56830,,66065,,56904,,55441,,48681,,47861,,44660,,45497,,43046,,38848,,36074,,28923,,24430,,21632,,18289,,12404,,6038,,2385,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1952,,Edf,C,669660,14012,,57009,,68505,,57523,,54729,,49621,,46038,,44871,,43670,,43708,,39219,,36172,,29827,,24541,,21160,,17891,,12630,,6002,,2532,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1953,,Edf,C,675100,14500,,56300,,69100,,59400,,55700,,51200,,45300,,46100,,41800,,44300,,39500,,36900,,30200,,24700,,21200,,17300,,12900,,6200,,2500,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1954,,Edf,C,676100,14300,,56000,,69300,,60300,,57800,,49200,,44000,,46000,,40900,,43800,,40400,,37100,,32000,,24800,,21400,,16900,,13100,,6400,,2400,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1955,,Edf,C,679200,14300,,55900,,69700,,63100,,58800,,49200,,43700,,45100,,40600,,44500,,40300,,37400,,31600,,25900,,20700,,16800,,12600,,6700,,2300,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1956,,Edf,C,680900,14700,,55700,,69900,,64600,,58900,,49500,,43100,,43400,,41500,,42900,,41300,,36800,,33500,,26000,,20700,,16800,,12300,,6800,,2500,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1957,,Edf,C,681300,14600,,56600,,68600,,66600,,59000,,48600,,43100,,42000,,42200,,41400,,41900,,37200,,33600,,26800,,20800,,16500,,12100,,7200,,2500,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1958,,Edf,C,683600,15200,,56700,,68400,,67000,,60700,,49500,,43000,,40700,,43100,,39500,,42300,,37500,,34200,,27000,,20900,,16400,,11600,,7400,,2500,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1959,,Edf,C,685700,15200,,57500,,68000,,67200,,61900,,51900,,41800,,39600,,43100,,38700,,41900,,38500,,34400,,27800,,20800,,16600,,11000,,7400,,2400,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1960,,Edf,C,691900,15800,,58700,,68000,,67600,,63600,,53300,,41800,,39600,,42400,,38500,,42600,,38400,,34900,,28200,,21900,,16000,,11100,,7100,,2400,[=>],[85+],,[85+],,[85+],,-
,,,23 IV 1961,,Cdf,C,694224,15874,,59480,,68096,,68130,,60287,,46875,,41618,,41582,,43912,,41633,,42098,,39593,,34357,,29435,,23004,,16982,,11337,,6730,,3201,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1962,,Edf,C,699500,15900,,60700,,69100,,66800,,63000,,47700,,41500,,41000,,42900,,43300,,40700,,40000,,35300,,29600,,23600,,17100,,11400,,6600,,3300,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1963,,Edf,C,705000,16500,,61400,,70000,,66500,,65500,,49300,,41500,,40400,,41800,,44400,,39300,,40700,,35500,,30200,,23700,,17200,,11500,,6300,,3300,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1964,,Edf,C,711000,17000,,62700,,70800,,66200,,66700,,51400,,41800,,39900,,41100,,44300,,39000,,41000,,35800,,30800,,24000,,17300,,11700,,6200,,3300,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1965,,Edf,C,716300,81100,[=>],[0-4],,71800,,66100,,67100,,53400,,42400,,39800,,40600,,43500,,39400,,41300,,35900,,31200,,24200,,17600,,11500,,6300,,3100,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1966,,Edf,C,720100,17000,,64900,,73000,,66500,,66900,,56800,,41800,,39000,,40000,,42300,,40700,,40300,,36900,,31000,,24700,,17700,,11500,,6100,,3000,[=>],[85+],,[85+],,[85+],,-
,,,9 X 1966,,Cdf,C,723884,16911,,66124,,75110,,67720,,63472,,52405,,43440,,41130,,40857,,42730,,40870,,40151,,36975,,31296,,25271,,18077,,11543,,6284,,3518,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1967,,Edf,C,727000,16800,,133200,,76200,,68600,,63200,,52800,,43500,,41400,,40800,,42100,,42000,,38900,,37500,,31600,,25500,,18100,,11700,,6200,,3500,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1968,,Edf,C,732600,16800,,66900,,77900,,69500,,63900,,53300,,44100,,41700,,40700,,41500,,42900,,38100,,37800,,31900,,25800,,18500,,11600,,6200,,3500,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1969,,Edf,C,737800,16500,,66700,,79700,,70500,,64300,,54100,,45100,,41700,,40500,,40900,,43100,,37500,,38300,,32400,,26100,,18900,,11600,,6400,,3500,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1970,,Edf,C,745000,16100,,66200,,80900,,72000,,65300,,57100,,46300,,42000,,40300,,40700,,42100,,38300,,37900,,33000,,26000,,19200,,11700,,6500,,3400,[=>],[85+],,[85+],,[85+],,-
,,,25 IV 1971,,Cdj,C,755000,16300,,65500,,81800,,73900,,66600,,60300,,47900,,42100,,41000,,40500,,41600,,39100,,37800,,33200,,26400,,19300,,12000,,6400,,3300,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1971,,Edf,C,755000,81800,[=>],[0-4],,81800,,73900,,66600,,60300,,47900,,42100,,41000,,40500,,41600,,39100,,37800,,33200,,26400,,19300,,12000,,6400,,3300,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1972,,Edf,C,764800,15600,,65000,,82500,,75500,,68700,,62800,,50300,,42900,,41800,,40500,,40900,,40300,,36600,,33700,,26700,,19500,,12100,,6300,,3100,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1973,,Edf,C,765700,15000,,61800,,81400,,76500,,68000,,60600,,55500,,46500,,42100,,40300,,40300,,40900,,35500,,33700,,27100,,19700,,11800,,6000,,3000,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1974,,Edf,C,765950,14186,,60624,,80355,,78153,,69357,,60285,,55116,,47828,,42595,,39974,,39807,,40925,,35078,,33714,,27145,,19895,,12119,,5913,,2881,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1975,,Edf,C,760520,13171,,58590,,78798,,79373,,70357,,58739,,54205,,48674,,42787,,39436,,39415,,39800,,35419,,33745,,27290,,20030,,12284,,5737,,2670,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1976,,Edf,C,761556,13397,,56391,,77233,,79983,,72690,,61255,,53561,,49975,,42357,,39166,,38883,,38872,,36360,,32978,,27553,,20041,,12670,,5700,,2491,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1977,,Edf,C,761014,12866,,54474,,75898,,80527,,73831,,62504,,52337,,51590,,42726,,39505,,38442,,38321,,37195,,32098,,27711,,20285,,12662,,5769,,2273,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1978,,Edf,C,761841,12802,,52490,,74513,,80223,,75842,,63881,,52454,,51450,,44270,,39768,,38252,,37766,,37297,,31415,,28120,,20556,,12765,,5976,,2001,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1979,,Edf,C,763000,64900,[=>],[0-4],,72600,,79100,,77500,,66200,,52200,,51200,,45700,,40200,,38000,,37400,,37500,,31100,,28200,,20600,,12900,,6100,,1600,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1980,,Edf,C,763677,14292,,51913,,69644,,77005,,78484,,67943,,52086,,50619,,46668,,40370,,37517,,37019,,36584,,31546,,28601,,21052,,13330,,6572,,2432,[=>],[85+],,[85+],,[85+],,-
,,,5 IV 1981,,Cdf,C,725217,12515,,48053,,64230,,72365,,73173,,61450,,50085,,48711,,45199,,39197,,36396,,36149,,35397,,31247,,27950,,20804,,12592,,6520,,3184,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1982,,Edf,C,767400,13700,,54000,,66800,,74800,,76900,,67600,,53800,,50000,,48800,,41400,,38300,,37000,,36400,,33500,,28300,,22400,,13500,,6700,,3500,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1984,,Edf,C,772484,13831,,54956,,64743,,71764,,76329,,71306,,56122,,49848,,49212,,44014,,39144,,36673,,35719,,34562,,26917,,23059,,14246,,6699,,3340,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1985,,Edf,C,763323,14259,,54720,,65287,,69985,,74530,,70891,,57378,,48914,,48385,,44155,,38880,,35738,,34150,,32578,,25956,,22298,,14620,,7030,,3569,[=>],[85+],,[85+],,[85+],,-
,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 VII 1948,,Edf,C,694600,14100,,55500,,60200,,53700,,54900,,58800,,56900,,51600,,46600,,43700,,39000,,33700,,30700,,29100,,25200,,20000,,12400,,5700,,2800,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1949,,Edf,C,699300,13600,,55600,,62600,,54400,,55100,,59100,,57100,,51800,,46700,,43900,,39100,,33900,,30800,,29200,,25300,,20100,,12500,,5700,,2800,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1950,,Edf,C,701965,13654,,55458,,64837,,54987,,55351,,58291,,56651,,51620,,46911,,44089,,39288,,33986,,30899,,29336,,25350,,20153,,12521,,5730,,2853,[=>],[85+],,[85+],,[85+],,-
,,,8 IV 1951,,Cdf,C,703102,12865,,54337,,63140,,54785,,53056,,52229,,51631,,46567,,48616,,46009,,41976,,40258,,33293,,30095,,25769,,22231,,14830,,7705,,3710,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1952,,Edf,C,705040,13229,,54240,,65535,,55185,,53310,,51493,,50118,,47315,,46487,,46791,,42473,,40087,,34359,,30124,,25698,,21902,,15328,,7563,,3803,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1953,,Edf,C,709000,13700,,53100,,66300,,57000,,53600,,51500,,49400,,48600,,44500,,47400,,42900,,40600,,34900,,30400,,25800,,21800,,15800,,7800,,3900,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1954,,Edf,C,711200,13500,,53000,,66200,,58700,,54000,,50900,,48700,,49300,,43600,,47000,,43800,,40500,,35900,,30100,,26600,,21100,,16500,,8000,,3800,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1955,,Edf,C,714600,13300,,52900,,66600,,60400,,54100,,50600,,48600,,49400,,42900,,48000,,43600,,41100,,36100,,31200,,26500,,21000,,16100,,8700,,3500,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1956,,Edf,C,715700,13800,,52500,,66800,,61900,,53600,,50000,,48400,,47800,,43800,,46400,,44400,,40300,,38200,,30900,,26800,,21300,,16200,,8900,,3700,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1957,,Edf,C,717200,13800,,53100,,65500,,64000,,53700,,49500,,47400,,47100,,45000,,44600,,45200,,40800,,38000,,31900,,26900,,21300,,16100,,9600,,3700,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1958,,Edf,C,718700,14400,,53200,,64600,,64600,,55300,,49300,,46700,,46100,,46200,,42400,,45800,,41200,,38500,,32300,,27000,,21400,,16000,,9900,,3800,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1959,,Edf,C,722000,14400,,54200,,64300,,64400,,56800,,49800,,46300,,45700,,47000,,41600,,45200,,42100,,38500,,33300,,26700,,22100,,15500,,10400,,3700,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1960,,Edf,C,727900,14500,,55500,,64100,,64800,,58600,,50500,,45800,,45600,,47200,,41000,,46200,,41900,,39200,,33600,,27700,,22100,,15500,,10100,,4000,[=>],[85+],,[85+],,[85+],,-
,,,23 IV 1961,,Cdf,C,730818,14893,,56272,,64348,,65041,,59950,,46877,,43621,,44899,,47026,,43434,,44927,,42450,,38185,,36290,,29205,,23080,,15697,,9436,,5187,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1962,,Edf,C,735900,15300,,57500,,65400,,63500,,62800,,47600,,43500,,44100,,46000,,45100,,43100,,43200,,38800,,35900,,30200,,23200,,16100,,9200,,5400,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1963,,Edf,C,741000,15400,,58200,,66400,,62900,,63500,,50400,,43400,,43600,,44900,,46400,,41700,,43700,,39300,,35900,,30900,,23300,,16500,,9300,,5300,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1964,,Edf,C,747000,15900,,59300,,67200,,62600,,63500,,53200,,44000,,42900,,44400,,46800,,41200,,43800,,39800,,36000,,31500,,23500,,16900,,9400,,5100,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1965,,Edf,C,752700,76500,[=>],[0-4],,68400,,62300,,63500,,55800,,44200,,42200,,43800,,46500,,41100,,44400,,39600,,36300,,31900,,24400,,16800,,9800,,5200,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1966,,Edf,C,757900,15700,,61300,,69600,,62900,,63500,,58400,,44200,,41600,,43500,,45600,,42400,,43100,,40600,,35900,,32700,,24700,,17200,,9800,,5200,[=>],[85+],,[85+],,[85+],,-
,,,9 X 1966,,Cdf,C,760891,15652,,61839,,71235,,64321,,62229,,54019,,44334,,42662,,43897,,45459,,42701,,43202,,40523,,37345,,32890,,25056,,17269,,10133,,6125,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1967,,Edf,C,764000,16100,,124400,,72000,,65000,,61900,,54500,,44700,,42500,,43600,,44900,,43800,,42000,,41000,,37500,,32900,,25600,,17400,,10100,,6300,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1968,,Edf,C,769400,15700,,62700,,73500,,66000,,61900,,55200,,45700,,42600,,43100,,44200,,44900,,41100,,41300,,37800,,33100,,26300,,17600,,10400,,6300,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1969,,Edf,C,774700,15600,,62500,,75100,,67100,,62000,,55900,,46900,,42900,,42500,,43600,,45500,,40300,,41700,,37900,,33600,,26700,,17900,,10700,,6300,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1970,,Edf,C,779000,15200,,62400,,76000,,68600,,62100,,56900,,47700,,43100,,41800,,43500,,44800,,40800,,41600,,38200,,33500,,27500,,18100,,11000,,6200,[=>],[85+],,[85+],,[85+],,-
,,,25 IV 1971,,Cdj,C,779000,15200,,61800,,76300,,70100,,62100,,55600,,48300,,42400,,41500,,42800,,44000,,41400,,41200,,38200,,33900,,27900,,18800,,11100,,6400,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1971,,Edf,C,779000,77000,[=>],[0-4],,76300,,70100,,62100,,55600,,48300,,42400,,41500,,42800,,44000,,41400,,41200,,38200,,33900,,27900,,18800,,11100,,6400,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1972,,Edf,C,784600,14500,,61000,,77300,,71400,,63300,,56300,,49800,,42800,,41500,,42500,,43500,,42600,,40100,,38600,,34200,,28100,,19500,,11300,,6300,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1973,,Edf,C,781400,13800,,58300,,76000,,72100,,63600,,53100,,51300,,44700,,41600,,42500,,42900,,43200,,38200,,39400,,34700,,28500,,19600,,11000,,6900,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1974,,Edf,C,780818,13314,,56577,,75218,,73399,,64503,,53344,,50674,,45656,,42005,,41815,,42464,,43480,,37500,,39371,,34980,,28756,,20032,,10915,,6815,[=>],[85+],,[85+],,[85+],,-
